,student_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,job_change
0,8949,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,,,1,36,1
1,29725,city_40,0.7759999999999999,Male,No relevant experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0
2,11561,city_21,0.624,,No relevant experience,Full time course,Graduate,STEM,5,,,never,83,0
3,33241,city_115,0.789,,No relevant experience,,Graduate,Business Degree,<1,,Pvt Ltd,never,52,1
4,666,city_162,0.767,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0
5,21651,city_176,0.764,,Has relevant experience,Part time course,Graduate,STEM,11,,,1,24,1
6,28806,city_160,0.92,Male,Has relevant experience,no_enrollment,High School,,5,50-99,Funded Startup,1,24,0
7,402,city_46,0.762,Male,Has relevant experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1
8,27107,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1
9,699,city_103,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0
10,29452,city_21,0.624,,No relevant experience,Full time course,High School,,2,,,never,32,1
11,23853,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0
12,25619,city_61,0.913,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0
13,5826,city_21,0.624,Male,No relevant experience,,,,2,,,never,24,0
14,8722,city_21,0.624,,No relevant experience,Full time course,High School,,5,,,never,26,0
15,6588,city_114,0.926,Male,Has relevant experience,no_enrollment,Graduate,STEM,16,10-49,Pvt Ltd,>4,18,0
16,4167,city_103,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0
17,5764,city_21,0.624,,Has relevant experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0
18,2156,city_21,0.624,,Has relevant experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1
19,11399,city_13,0.8270000000000001,Female,Has relevant experience,no_enrollment,Graduate,Arts,4,,,1,132,1
20,31972,city_159,0.843,Male,Has relevant experience,no_enrollment,Masters,STEM,11,100-499,Pvt Ltd,1,68,0
21,19061,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,11,100-499,Pvt Ltd,2,50,0
22,6491,city_102,0.804,,Has relevant experience,no_enrollment,Masters,STEM,10,,,1,48,0
23,7041,city_40,0.7759999999999999,Male,Has relevant experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0
24,22767,city_21,0.624,,Has relevant experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0
25,14505,city_67,0.855,,No relevant experience,no_enrollment,High School,,4,,,never,22,0
