code	lc	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_ru	generic_name_en	generic_name_es	generic_name_ru	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_ru	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	energy_value	energy_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
0879322007505	en		Cyprus black mediterranean black sea salt flakes shaker							3 oz											United States	en:united-states			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0812907015267	en		Natierra pink salt flakes								1/4 tsp (1.4 g)					Brandstorm Inc	Condiments, Groceries	en:condiments,en:groceries			United States	en:united-states			0									Pink salt flakes									100g	100g			0	kcal	0	g			0	g					0	g					0	kcal																		3	en:3-processed-foods			unknown		1		-5	-15	1	0		2020-02-19T00:00:00Z	Seasoning Mixes, Salts, Marinades & Tenderizers	LI	802327	2020-02-19T00:00:00Z	2020-04-01T00:00:00Z	Databases, database-usda, App - Yuka, Apps
0858234006837	en		Sea Salt Flakes																		United States	en:united-states			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
5026723900248	en		Scottish sea salt flakes																		United Kingdom	en:united-kingdom			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
4088700062913	en		Coconut toasted flakes with sea salt																Organic, EU Organic, Health Star Rating, Health Star Rating 2	en:organic,en:eu-organic,en:health-star-rating,en:health-star-rating-2	Australia	en:australia			0																		100g	100g			650	kcal	58.00000190735	g	0	g	12.5	g	6.9999998807905	g			7.5	g	0.8	g	0.32	g	650	kcal																			unknown			unknown		1		-5	-15	1	15								App - yuka, Apps
0085239045817	en		Probiotic chocolate sea salt granola made with organic rolled oats, sunflower seed kernels, semi-sweet chocolate, amaranth, quinoa flakes & chia seeds		Organic probiotic chocolate sea salt granola					8 oz	1/3 cup (30 g)					GOOD & GATHER	Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products	Organic, No gluten, USDA Organic	en:organic,en:no-gluten,en:usda-organic	France, United States	en:france,en:united-states			0									Organic gluten-free rolled oats, organic coconut sugar, organic coconut oil, organic coconut, organic sunflower seed kernels, organic fair trade semi-sweet chocolate (organic cane sugar, organic chocolate liquor, organic cocoa butter, organic vanilla extract), organic amaranth, organic fair trade cocoa powder, organic quinoa flakes, organic chia seeds, sea salt, probiotic cultures (inulin, palm oil, bacillus coagulans gbi-30 6086), mixed tocopherols (vitamin e).									100g	100g			467	kcal	23.33	g	16.67	g	60	g	20	g	10	g	10	g	1042.5	mg	417	mg	467	kcal	0	g	0	mg					400	mg	67	mg	3.67	mg		en:cereals	en:cereals-and-potatoes,en:cereals	3	en:3-processed-foods	d	18	unknown		1		-5	-15	1	0	-10	2019-08-01T00:00:00Z	Cereal	LI	721330	2019-08-01T00:00:00Z	2019-12-06T00:00:00Z	App - yuka, Apps, Databases, database-usda
5708413034548	fr				Black pyramid sea salt flakes																France	en:france			0																		100g	100g			0	kcal	0	g	0	g	0	g	0	g	0	g	0	g					0	kcal																			unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0818710001121	fr				Flake sea salt					250 g											Canada	en:canada			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0812907015274	en		White Salt Flakes							5 oz	1/4 tsp (1.6 g)					Brandstorm Inc	Condiments, Groceries	en:condiments,en:groceries			United States	en:united-states			0									White salt flakes									100g	100g			0	kcal	0	g	0	g	0	g	0	g			0	g	98.4375	g	39.375	g	0	kcal																			unknown	c	10	unknown		1		-5	-15	1	0		2020-02-19T00:00:00Z	Seasoning Mixes, Salts, Marinades & Tenderizers	LI	801133	2020-02-19T00:00:00Z	2020-04-01T00:00:00Z	Databases, database-usda, App - Yuka, Apps
5011428100048	fr	Maldon Meersalz Kristalle	Maldon Sea Salt Flakes		Sea Salt Flakes					150g		en:container, en:Card-box, en:Sachet, en:pp film-bag	en:container,en:card-box,en:sachet,en:pp-film-bag	Maldon	maldon		Condiments, Sels, Sels marins, en:groceries	en:condiments,en:salts,en:sea-salts,en:groceries	Bio, Kascher, Sans additifs	en:organic,en:kosher,en:no-additives	Australie, France, Allemagne, Suisse, Royaume-Uni	en:australia,en:france,en:germany,en:switzerland,en:united-kingdom	Woolworths, Coles	woolworths,coles	0				Royaume-Uni	royaume-uni			Meersalz (Natriumchlorid ca. 96%, Kalium-, Calcium - und Magnesium-Chloride und-Sulfate 1-1.7%), Wassergehalt 1-9%			Sel marin (chlorure de sodium env. 96 %, chlorures et sulfates de potassium, de calcium et de magnésium 1-1.7 %.							100g	100g			0	kcal	0	g	0	g	0	g	0	g	0	g	0	g	89	g	35.6	g	0	kcal																		2	en:2-processed-culinary-ingredients			a	82		11017	-5	-11	0	0								Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - Horizon, App - Speisekammer
5011428000409	en		Sea Salt Flakes																		United Kingdom	en:united-kingdom			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
