date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
19790101,2.0,7.0,52.0,2.3,-4.1,-7.5,0.4,101900.0,9.0
19790102,6.0,1.7,27.0,1.6,-2.6,-7.5,0.0,102530.0,8.0
19790103,5.0,0.0,13.0,1.3,-2.8,-7.2,0.0,102050.0,4.0
19790104,8.0,0.0,13.0,-0.3,-2.6,-6.5,0.0,100840.0,2.0
19790105,6.0,2.0,29.0,5.6,-0.8,-1.4,0.0,102250.0,1.0
19790106,5.0,3.8,39.0,8.3,-0.5,-6.6,0.7,102780.0,1.0
19790107,8.0,0.0,13.0,8.5,1.5,-5.3,5.2,102520.0,0.0
19790108,8.0,0.1,15.0,5.8,6.9,5.3,0.8,101870.0,0.0
19790109,4.0,5.8,50.0,5.2,3.7,1.6,7.2,101170.0,0.0
19790110,7.0,1.9,30.0,4.9,3.3,1.4,2.1,98700.0,0.0
19790111,1.0,6.8,55.0,2.9,2.6,0.3,2.3,98960.0,0.0
19790112,3.0,6.4,54.0,2.0,0.4,-2.0,0.0,100650.0,1.0
19790113,1.0,7.0,57.0,4.3,-2.6,-7.1,0.0,102350.0,1.0
19790114,7.0,0.0,14.0,6.7,-0.6,-5.6,0.8,102700.0,1.0
19790115,,0.0,15.0,5.9,3.8,1.0,0.1,102990.0,0.0
19790116,8.0,0.0,15.0,2.6,5.0,4.1,3.9,103100.0,0.0
19790117,8.0,0.0,15.0,1.9,2.1,1.6,2.5,102220.0,0.0
19790118,8.0,0.0,15.0,3.0,0.8,-0.2,0.2,101860.0,0.0
19790119,8.0,0.0,16.0,7.2,0.8,-1.4,5.2,100910.0,0.0
19790120,7.0,0.0,16.0,3.5,3.1,-1.0,0.0,100920.0,0.0
19790121,,0.0,16.0,1.5,0.0,-3.5,0.1,102170.0,0.0
19790122,8.0,0.0,16.0,0.3,-0.2,-1.8,6.2,101680.0,0.0
19790123,7.0,0.0,17.0,2.9,-1.0,-2.3,1.0,100970.0,6.0
19790124,3.0,4.8,54.0,5.6,-1.4,-5.6,1.4,101010.0,6.0
19790125,8.0,0.0,17.0,2.8,0.6,-4.5,5.3,99660.0,1.0
19790126,5.0,2.6,42.0,1.6,0.8,-1.1,0.1,99280.0,1.0
19790127,4.0,2.1,39.0,4.5,-1.8,-5.2,0.0,99770.0,0.0
19790128,7.0,3.1,47.0,4.8,0.0,-4.4,7.5,99470.0,0.0
19790129,4.0,1.0,31.0,4.0,1.9,-1.0,4.4,98920.0,0.0
19790130,5.0,0.8,30.0,7.3,0.7,-2.6,0.1,100070.0,0.0
19790131,5.0,1.6,38.0,9.1,2.1,-3.1,2.4,101390.0,0.0
19790201,8.0,0.0,19.0,4.0,5.2,1.2,10.1,99490.0,0.0
19790202,5.0,1.4,37.0,5.9,2.8,1.5,0.0,99890.0,0.0
19790203,1.0,8.7,85.0,4.5,0.9,-4.1,0.0,100770.0,0.0
19790204,8.0,0.1,23.0,6.0,1.6,-1.2,0.0,100060.0,0.0
19790205,6.0,0.8,33.0,4.0,3.7,1.4,0.0,100250.0,0.0
19790206,4.0,6.8,78.0,6.8,1.2,-1.6,9.0,101020.0,0.0
19790207,,0.0,21.0,3.7,3.3,-0.2,0.4,99450.0,0.0
19790208,6.0,1.9,45.0,4.0,2.0,0.3,0.0,100740.0,0.0
19790209,8.0,0.0,22.0,3.5,2.4,0.8,0.0,100310.0,0.0
19790210,8.0,0.0,23.0,2.9,2.8,2.1,0.0,99730.0,0.0
19790211,8.0,0.0,23.0,5.4,2.4,1.9,4.4,99170.0,0.0
19790212,8.0,0.1,27.0,8.1,2.8,0.3,6.7,98430.0,1.0
19790213,8.0,0.0,24.0,0.2,4.2,0.3,9.1,98130.0,0.0
19790214,6.0,2.4,54.0,-0.8,-0.2,-0.7,0.0,99380.0,1.0
19790215,7.0,0.0,25.0,0.6,-2.2,-3.7,0.1,100830.0,0.0
19790216,8.0,0.0,25.0,-0.8,-1.2,-3.1,0.0,102270.0,1.0
19790217,8.0,0.0,26.0,0.7,-1.2,-1.5,0.0,102180.0,0.0
19790218,8.0,0.0,26.0,1.9,-0.6,-1.8,0.0,101970.0,0.0
19790219,8.0,0.0,27.0,2.8,0.5,-0.9,0.1,102530.0,0.0
19790220,,0.0,27.0,3.6,1.6,0.3,0.0,103010.0,0.0
19790221,8.0,0.0,28.0,7.4,2.1,0.6,0.6,102640.0,0.0
19790222,5.0,2.6,63.0,8.7,4.3,1.2,1.8,102790.0,0.0
19790223,4.0,7.4,104.0,5.5,4.4,0.2,0.0,103430.0,0.0
19790224,4.0,1.9,58.0,6.9,2.9,0.3,0.0,104130.0,0.0
19790225,3.0,8.1,112.0,6.7,1.8,-3.4,0.0,104270.0,0.0
19790226,,4.2,82.0,8.9,1.6,-3.4,0.0,103590.0,0.0
19790227,6.0,4.4,85.0,6.1,3.7,-1.5,0.8,102090.0,0.0
19790228,6.0,2.1,64.0,9.7,4.4,2.7,0.9,100040.0,0.0
19790301,4.0,6.4,115.0,11.9,3.5,-2.7,0.2,101100.0,0.0
19790302,8.0,0.0,35.0,12.6,6.8,1.6,0.0,101640.0,0.0
19790303,8.0,0.1,40.0,10.5,11.0,9.4,5.3,101850.0,0.0
19790304,4.0,8.7,140.0,11.0,7.4,4.3,0.0,102410.0,0.0
19790305,4.0,6.4,121.0,9.0,5.4,-0.1,0.0,102730.0,0.0
19790306,6.0,3.7,95.0,9.4,6.3,3.6,2.8,100950.0,0.0
19790307,2.0,7.4,133.0,10.5,5.6,1.9,0.0,100800.0,0.0
19790308,4.0,5.1,113.0,11.0,5.6,0.7,8.0,101590.0,0.0
19790309,6.0,1.6,72.0,11.5,7.8,4.5,3.1,99940.0,0.0
19790310,7.0,0.0,40.0,13.8,5.8,0.0,3.8,100740.0,0.0
19790311,7.0,0.2,48.0,10.7,8.2,2.7,0.0,100110.0,0.0
19790312,5.0,4.8,115.0,4.9,7.2,3.7,1.1,100880.0,0.0
19790313,8.0,0.0,42.0,3.8,4.6,4.4,20.3,100800.0,0.0
19790314,8.0,0.0,43.0,2.5,2.8,1.8,0.5,100580.0,0.0
19790315,8.0,0.0,43.0,1.3,1.8,1.2,3.1,100020.0,0.0
19790316,8.0,0.0,44.0,6.9,0.7,0.1,11.8,99160.0,0.0
19790317,5.0,4.3,116.0,9.1,3.5,0.1,0.3,99460.0,1.0
19790318,6.0,4.4,119.0,6.1,5.1,1.1,0.7,99970.0,0.0
19790319,7.0,0.2,54.0,11.0,4.2,2.4,1.0,100230.0,0.0
19790320,6.0,4.0,116.0,8.5,7.0,3.0,2.4,99550.0,0.0
19790321,4.0,6.7,149.0,9.6,5.7,2.9,3.3,99490.0,0.0
19790322,4.0,6.0,143.0,9.2,5.0,0.5,0.1,100520.0,0.0
19790323,1.0,10.7,194.0,11.5,3.1,-3.0,0.0,101660.0,0.0
19790324,5.0,7.0,158.0,15.3,5.0,-1.6,9.1,101330.0,0.0
19790325,7.0,0.7,70.0,8.0,10.2,5.0,0.2,99040.0,0.0
19790326,7.0,1.4,85.0,11.3,6.2,4.3,5.4,98870.0,0.0
19790327,6.0,5.8,148.0,8.1,7.2,3.0,4.2,98270.0,0.0
19790328,7.0,3.1,114.0,7.6,4.8,1.4,4.1,98400.0,0.0
19790329,8.0,0.7,74.0,7.6,4.8,1.9,3.3,99540.0,0.0
19790330,8.0,0.0,53.0,10.6,5.5,3.4,0.7,101330.0,0.0
19790331,7.0,0.2,62.0,11.6,5.4,0.3,0.1,101270.0,0.0
19790401,6.0,2.7,112.0,8.3,8.0,4.5,2.8,100890.0,0.0
19790402,5.0,3.4,124.0,8.6,4.4,0.5,3.0,100240.0,0.0
19790403,5.0,3.1,121.0,7.9,3.8,-1.1,0.0,99910.0,0.0
19790404,4.0,2.7,116.0,8.0,4.0,0.0,0.0,100270.0,0.0
19790405,6.0,2.1,107.0,7.9,4.0,0.0,0.1,100920.0,0.0
19790406,5.0,0.1,63.0,9.8,3.1,-1.7,0.0,101170.0,0.0
19790407,8.0,2.3,112.0,9.3,5.8,1.8,28.5,101230.0,0.0
19790408,8.0,0.0,58.0,13.7,6.8,4.2,7.8,101100.0,0.0
19790409,8.0,1.8,105.0,16.1,9.5,5.3,0.0,100480.0,0.0
19790410,7.0,1.3,96.0,15.9,11.8,7.5,8.4,99850.0,0.0
19790411,6.0,5.1,159.0,12.8,13.1,10.3,0.2,99720.0,0.0
19790412,5.0,4.8,156.0,17.5,10.1,7.4,1.9,100420.0,0.0
19790413,7.0,5.9,173.0,21.7,12.8,8.0,0.0,101140.0,0.0
19790414,6.0,9.4,219.0,22.4,15.2,8.6,0.0,101360.0,0.0
19790415,6.0,8.1,205.0,15.2,15.3,8.2,0.0,102270.0,0.0
19790416,5.0,9.9,228.0,9.0,11.3,7.4,0.0,102730.0,0.0
19790417,7.0,0.0,64.0,13.2,7.3,5.6,0.0,102910.0,0.0
19790418,3.0,10.9,243.0,14.5,7.2,1.2,0.0,103120.0,0.0
19790419,7.0,0.7,90.0,12.7,10.2,5.9,1.4,102630.0,0.0
19790420,7.0,2.4,126.0,12.3,10.6,8.4,0.0,101980.0,0.0
19790421,6.0,0.3,80.0,13.5,8.0,3.7,0.0,101370.0,0.0
19790422,7.0,4.3,160.0,13.5,8.7,3.9,5.0,100750.0,0.0
19790423,7.0,0.4,84.0,11.5,11.0,8.4,11.6,99390.0,0.0
19790424,6.0,2.9,139.0,11.4,9.0,6.5,0.9,99640.0,0.0
19790425,6.0,5.8,186.0,12.0,7.4,3.5,2.9,100740.0,0.0
19790426,6.0,5.5,182.0,12.0,8.6,5.2,0.1,101940.0,0.0
19790427,6.0,2.8,139.0,12.6,9.3,6.6,2.4,102830.0,0.0
19790428,7.0,0.8,98.0,13.9,9.8,6.9,0.4,101900.0,0.0
19790429,6.0,0.1,76.0,10.9,8.0,2.1,0.1,101240.0,0.0
19790430,6.0,6.7,204.0,7.5,8.2,5.5,0.1,100820.0,0.0
19790501,8.0,0.3,86.0,8.0,5.6,3.8,14.2,100280.0,0.0
19790502,5.0,7.2,214.0,10.0,4.6,1.1,1.4,100480.0,0.0
19790503,3.0,9.4,245.0,9.1,4.6,-0.9,0.0,100930.0,0.0
19790504,3.0,9.9,252.0,11.1,4.4,-0.3,0.4,101590.0,0.0
19790505,4.0,9.1,243.0,12.4,6.4,1.7,0.0,102060.0,0.0
19790506,4.0,8.8,240.0,15.0,6.7,1.0,0.0,102340.0,0.0
19790507,7.0,5.9,199.0,16.0,9.4,3.9,0.0,102110.0,0.0
19790508,7.0,3.2,156.0,15.6,11.2,6.4,0.0,101960.0,0.0
19790509,4.0,8.4,237.0,13.6,10.0,4.5,0.0,102300.0,0.0
19790510,8.0,0.5,97.0,16.1,10.4,7.3,17.8,102700.0,0.0
19790511,8.0,0.1,82.0,20.8,12.6,9.2,0.4,102230.0,0.0
19790512,7.0,4.9,188.0,23.4,16.0,11.2,0.0,103000.0,0.0
19790513,4.0,13.0,301.0,26.1,17.4,11.5,0.0,103160.0,0.0
19790514,2.0,14.2,311.0,26.2,18.5,10.9,0.0,102810.0,0.0
19790515,3.0,13.4,308.0,22.5,19.6,12.9,0.0,101770.0,0.0
19790516,6.0,6.7,219.0,15.2,17.4,12.4,1.1,100410.0,0.0
19790517,5.0,10.0,266.0,16.0,11.8,8.5,0.2,100130.0,0.0
19790518,4.0,10.7,276.0,17.2,12.2,8.3,0.0,100910.0,0.0
19790519,1.0,14.3,303.0,14.0,10.9,4.6,0.5,101780.0,0.0
19790520,7.0,0.0,79.0,15.1,11.2,8.5,15.5,100650.0,0.0
19790521,6.0,6.3,216.0,15.8,11.8,8.4,7.1,100470.0,0.0
19790522,6.0,8.7,252.0,14.3,11.7,7.6,3.9,100790.0,0.0
19790523,5.0,6.0,212.0,14.6,11.8,9.4,1.3,100440.0,0.0
19790524,4.0,10.0,271.0,13.4,11.0,7.3,5.7,100620.0,0.0
19790525,5.0,8.5,251.0,15.5,9.4,5.4,5.6,100560.0,0.0
19790526,7.0,0.9,115.0,15.9,11.0,6.6,5.6,100080.0,0.0
19790527,4.0,3.3,168.0,15.9,11.3,6.7,0.0,100520.0,0.0
19790528,6.0,1.3,126.0,18.6,11.6,7.2,4.2,100910.0,0.0
19790529,7.0,3.3,169.0,20.1,15.8,13.0,0.1,101160.0,0.0
19790530,7.0,1.7,136.0,16.2,16.1,12.1,2.0,101390.0,0.0
19790531,7.0,0.6,108.0,18.7,13.8,11.5,0.0,101700.0,0.0
19790601,6.0,6.8,230.0,21.2,13.6,8.4,1.9,102750.0,0.0
19790602,7.0,5.9,216.0,19.2,16.4,11.5,0.0,102760.0,0.0
19790603,8.0,2.0,145.0,19.3,15.0,10.8,0.0,102290.0,0.0
19790604,7.0,0.0,80.0,20.4,15.9,12.5,0.0,101790.0,0.0
19790605,6.0,6.2,222.0,16.7,16.5,12.6,0.0,101830.0,0.0
19790606,5.0,7.3,239.0,14.4,12.5,8.3,0.0,101870.0,0.0
19790607,5.0,2.5,157.0,17.2,12.0,9.5,5.7,101790.0,0.0
19790608,6.0,3.8,182.0,18.7,12.2,7.3,0.0,101740.0,0.0
19790609,7.0,0.3,98.0,17.9,15.4,12.2,0.0,101720.0,0.0
19790610,7.0,2.5,157.0,16.2,15.0,12.1,4.0,101930.0,0.0
19790611,7.0,0.2,94.0,15.4,13.0,9.7,0.1,102020.0,0.0
19790612,7.0,0.0,81.0,18.1,12.4,9.4,7.9,101940.0,0.0
19790613,8.0,0.6,110.0,16.4,15.3,12.5,7.2,101150.0,0.0
