"order_number","date","warehouse","client_type","product_line","quantity","unit_price","total","payment","payment_fee"
"N1","2021-06-01T00:00:00.000Z","North","Retail","Breaking system",9,19.29,173.61,"Cash",0
"N2","2021-06-01T00:00:00.000Z","North","Retail","Suspension & traction",8,32.93,263.45,"Credit card",0.03
"N3","2021-06-01T00:00:00.000Z","North","Wholesale","Frame & body",16,37.84,605.44,"Transfer",0.01
"N4","2021-06-01T00:00:00.000Z","North","Wholesale","Suspension & traction",40,37.37,1494.8,"Transfer",0.01
"N5","2021-06-01T00:00:00.000Z","North","Retail","Frame & body",6,45.44,272.61,"Credit card",0.03
"N6","2021-06-02T00:00:00.000Z","North","Retail","Frame & body",1,40.41,40.41,"Credit card",0.03
"N7","2021-06-02T00:00:00.000Z","North","Retail","Miscellaneous",6,20.28,121.66,"Credit card",0.03
"N8","2021-06-03T00:00:00.000Z","North","Retail","Electrical system",9,20.5,184.54,"Credit card",0.03
"N9","2021-06-03T00:00:00.000Z","North","Retail","Suspension & traction",5,36.18,180.91,"Credit card",0.03
"N10","2021-06-03T00:00:00.000Z","North","Retail","Electrical system",5,28.33,141.67,"Credit card",0.03
"N11","2021-06-04T00:00:00.000Z","North","Retail","Suspension & traction",10,30.92,309.23,"Credit card",0.03
"N12","2021-06-04T00:00:00.000Z","North","Retail","Electrical system",5,20.16,100.81,"Credit card",0.03
"N13","2021-06-05T00:00:00.000Z","North","Wholesale","Electrical system",28,29.12,815.22,"Transfer",0.01
"N14","2021-06-05T00:00:00.000Z","North","Retail","Electrical system",7,32.31,226.19,"Credit card",0.03
"N15","2021-06-05T00:00:00.000Z","North","Wholesale","Suspension & traction",16,36.79,588.64,"Transfer",0.01
"N16","2021-06-05T00:00:00.000Z","North","Retail","Suspension & traction",5,32.15,160.76,"Credit card",0.03
"N17","2021-06-05T00:00:00.000Z","North","Retail","Suspension & traction",4,35.44,141.77,"Credit card",0.03
"N18","2021-06-06T00:00:00.000Z","North","Wholesale","Suspension & traction",32,34.82,1114.13,"Transfer",0.01
"N19","2021-06-06T00:00:00.000Z","North","Retail","Frame & body",1,35.89,35.89,"Credit card",0.03
"N20","2021-06-06T00:00:00.000Z","North","Retail","Breaking system",5,15.16,75.78,"Credit card",0.03
"N21","2021-06-06T00:00:00.000Z","North","Retail","Breaking system",7,15.43,108,"Credit card",0.03
"N22","2021-06-06T00:00:00.000Z","North","Retail","Frame & body",4,44.1,176.39,"Credit card",0.03
"N23","2021-06-07T00:00:00.000Z","North","Retail","Frame & body",9,43.49,391.42,"Credit card",0.03
"N24","2021-06-07T00:00:00.000Z","North","Retail","Suspension & traction",9,28.59,257.31,"Credit card",0.03
"N25","2021-06-07T00:00:00.000Z","North","Retail","Electrical system",4,29.62,118.48,"Credit card",0.03
"N26","2021-06-08T00:00:00.000Z","North","Retail","Frame & body",5,39.52,197.62,"Cash",0
"N27","2021-06-08T00:00:00.000Z","North","Retail","Electrical system",4,25.04,100.15,"Credit card",0.03
"N28","2021-06-08T00:00:00.000Z","North","Retail","Electrical system",3,29.93,89.8,"Credit card",0.03
"N29","2021-06-08T00:00:00.000Z","North","Retail","Frame & body",2,35.46,70.92,"Credit card",0.03
"N30","2021-06-09T00:00:00.000Z","North","Retail","Breaking system",5,14.76,73.78,"Credit card",0.03
"N31","2021-06-10T00:00:00.000Z","North","Retail","Engine",2,56.04,112.09,"Credit card",0.03
"N32","2021-06-10T00:00:00.000Z","North","Retail","Suspension & traction",6,38.06,228.38,"Cash",0
"N33","2021-06-10T00:00:00.000Z","North","Wholesale","Frame & body",28,37,1035.91,"Transfer",0.01
"N34","2021-06-11T00:00:00.000Z","North","Retail","Miscellaneous",9,17.49,157.41,"Cash",0
"N35","2021-06-11T00:00:00.000Z","North","Retail","Breaking system",1,23.28,23.28,"Credit card",0.03
"N36","2021-06-11T00:00:00.000Z","North","Retail","Breaking system",5,10.63,53.16,"Credit card",0.03
"N37","2021-06-11T00:00:00.000Z","North","Retail","Suspension & traction",6,41.09,246.52,"Credit card",0.03
"N38","2021-06-11T00:00:00.000Z","North","Wholesale","Miscellaneous",24,21.42,514,"Transfer",0.01
"N39","2021-06-11T00:00:00.000Z","North","Retail","Frame & body",4,47.06,188.22,"Credit card",0.03
"N40","2021-06-12T00:00:00.000Z","North","Retail","Breaking system",10,13.24,132.37,"Credit card",0.03
"N41","2021-06-12T00:00:00.000Z","North","Retail","Breaking system",9,11.67,105.02,"Credit card",0.03
"N42","2021-06-12T00:00:00.000Z","North","Retail","Suspension & traction",10,39.78,397.78,"Credit card",0.03
"N43","2021-06-13T00:00:00.000Z","North","Retail","Electrical system",9,23.27,209.43,"Credit card",0.03
"N44","2021-06-13T00:00:00.000Z","North","Retail","Frame & body",7,40.93,286.51,"Credit card",0.03
