"company_id","date_joined","year_founded"
189,"2017-06-24T00:00:00.000Z",1919
848,"2021-06-01T00:00:00.000Z",2019
556,"2022-02-15T00:00:00.000Z",2011
999,"2021-11-17T00:00:00.000Z",2020
396,"2021-10-21T00:00:00.000Z",2021
931,"2021-09-24T00:00:00.000Z",2020
364,"2019-02-01T00:00:00.000Z",2015
732,"2022-01-27T00:00:00.000Z",2017
906,"2021-06-10T00:00:00.000Z",2017
72,"2015-01-23T00:00:00.000Z",2006
983,"2019-08-22T00:00:00.000Z",1999
898,"2022-01-25T00:00:00.000Z",2015
844,"2021-07-07T00:00:00.000Z",2018
894,"2021-12-06T00:00:00.000Z",2020
813,"2021-08-10T00:00:00.000Z",2017
743,"2020-12-24T00:00:00.000Z",2015
226,"2021-01-24T00:00:00.000Z",2020
963,"2021-10-05T00:00:00.000Z",2017
764,"2021-12-07T00:00:00.000Z",2018
839,"2021-12-28T00:00:00.000Z",2016
1033,"2021-01-27T00:00:00.000Z",2006
725,"2022-01-25T00:00:00.000Z",2010
549,"2021-09-22T00:00:00.000Z",2016
667,"2015-01-16T00:00:00.000Z",2014
755,"2021-09-08T00:00:00.000Z",2017
782,"2022-01-31T00:00:00.000Z",2021
175,"2019-06-25T00:00:00.000Z",2011
398,"2021-10-15T00:00:00.000Z",2017
814,"2021-11-16T00:00:00.000Z",2014
436,"2017-04-14T00:00:00.000Z",2006
1046,"2021-06-16T00:00:00.000Z",2014
565,"2021-04-21T00:00:00.000Z",2013
781,"2021-08-31T00:00:00.000Z",2018
997,"2021-12-06T00:00:00.000Z",2011
194,"2021-03-18T00:00:00.000Z",2001
249,"2021-06-29T00:00:00.000Z",2019
434,"2021-05-19T00:00:00.000Z",2014
1035,"2021-11-18T00:00:00.000Z",2020
969,"2022-01-26T00:00:00.000Z",2014
1018,"2021-02-18T00:00:00.000Z",2011
355,"2021-09-14T00:00:00.000Z",2017
934,"2020-03-17T00:00:00.000Z",2011
1054,"2021-05-18T00:00:00.000Z",2016
901,"2021-11-08T00:00:00.000Z",2020
173,"2021-12-20T00:00:00.000Z",2018
738,"2022-01-11T00:00:00.000Z",2018
422,"2022-02-16T00:00:00.000Z",2019
830,"2021-03-30T00:00:00.000Z",2017
1004,"2021-05-24T00:00:00.000Z",2016
951,"2015-03-06T00:00:00.000Z",2011
734,"2022-01-27T00:00:00.000Z",2012
1063,"2021-11-10T00:00:00.000Z",2018
623,"2015-04-21T00:00:00.000Z",2013
846,"2019-10-21T00:00:00.000Z",2015
823,"2019-05-21T00:00:00.000Z",2000
944,"2021-07-22T00:00:00.000Z",2005
1030,"2021-08-09T00:00:00.000Z",2019
824,"2016-04-14T00:00:00.000Z",2012
930,"2022-02-22T00:00:00.000Z",2017
370,"2018-07-09T00:00:00.000Z",2010
618,"2018-10-18T00:00:00.000Z",2009
456,"2020-01-29T00:00:00.000Z",2016
893,"2021-09-02T00:00:00.000Z",2020
812,"2022-03-31T00:00:00.000Z",2019
1001,"2020-09-21T00:00:00.000Z",2020
703,"2021-12-02T00:00:00.000Z",2018
884,"2021-12-14T00:00:00.000Z",2020
404,"2021-03-19T00:00:00.000Z",2010
952,"2022-03-30T00:00:00.000Z",2021
625,"2020-01-28T00:00:00.000Z",2012
971,"2021-11-02T00:00:00.000Z",2015
796,"2017-07-20T00:00:00.000Z",2012
909,"2022-01-27T00:00:00.000Z",2015
587,"2018-05-17T00:00:00.000Z",2014
273,"2022-04-05T00:00:00.000Z",2013
771,"2021-09-28T00:00:00.000Z",2017
758,"2021-12-21T00:00:00.000Z",2016
652,"2021-06-15T00:00:00.000Z",2015
8,"2017-12-20T00:00:00.000Z",2015
760,"2020-11-17T00:00:00.000Z",2016
394,"2022-01-31T00:00:00.000Z",2016
393,"2021-09-27T00:00:00.000Z",2013
870,"2021-02-16T00:00:00.000Z",2016
804,"2021-09-16T00:00:00.000Z",2019
1041,"2021-11-02T00:00:00.000Z",2015
443,"2022-03-17T00:00:00.000Z",2017
978,"2021-01-07T00:00:00.000Z",2015
612,"2021-12-31T00:00:00.000Z",2016
714,"2017-10-17T00:00:00.000Z",2021
925,"2022-03-21T00:00:00.000Z",2012
421,"2020-11-16T00:00:00.000Z",2009
449,"2021-07-03T00:00:00.000Z",2019
1022,"2021-06-02T00:00:00.000Z",2013
240,"2016-05-11T00:00:00.000Z",2006
644,"2021-01-25T00:00:00.000Z",2016
718,"2021-09-30T00:00:00.000Z",2015
920,"2021-08-10T00:00:00.000Z",2004
1048,"2021-09-30T00:00:00.000Z",2014
1024,"2021-04-22T00:00:00.000Z",2011
929,"2021-12-22T00:00:00.000Z",2019
751,"2022-01-13T00:00:00.000Z",2015
1012,"2017-10-23T00:00:00.000Z",2015
863,"2021-12-07T00:00:00.000Z",2019
662,"2020-12-21T00:00:00.000Z",2015
1027,"2021-06-24T00:00:00.000Z",2012
783,"2021-03-26T00:00:00.000Z",2016
592,"2021-11-17T00:00:00.000Z",2018
1023,"2021-01-26T00:00:00.000Z",2018
1051,"2021-11-03T00:00:00.000Z",2009
633,"2021-04-07T00:00:00.000Z",2011
635,"2021-06-02T00:00:00.000Z",2011
750,"2022-01-26T00:00:00.000Z",2014
697,"2021-12-20T00:00:00.000Z",2018
886,"2021-03-30T00:00:00.000Z",2016
826,"2022-01-13T00:00:00.000Z",2012
1000,"2022-01-12T00:00:00.000Z",2016
740,"2022-03-16T00:00:00.000Z",2016
798,"2021-02-11T00:00:00.000Z",2017
1008,"2021-11-08T00:00:00.000Z",2020
761,"2022-02-28T00:00:00.000Z",2012
701,"2020-12-31T00:00:00.000Z",2007
825,"2021-10-13T00:00:00.000Z",2014
344,"2021-06-29T00:00:00.000Z",2010
695,"2022-01-11T00:00:00.000Z",2013
876,"2018-11-06T00:00:00.000Z",2011
643,"2021-12-15T00:00:00.000Z",2016
509,"2021-08-04T00:00:00.000Z",2014
979,"2021-02-25T00:00:00.000Z",2013
1031,"2021-10-07T00:00:00.000Z",2017
817,"2021-05-04T00:00:00.000Z",2014
943,"2019-03-22T00:00:00.000Z",2014
975,"2021-04-30T00:00:00.000Z",2015
647,"2020-12-10T00:00:00.000Z",2000
426,"2022-01-26T00:00:00.000Z",2015
705,"2021-12-07T00:00:00.000Z",2018
724,"2022-01-24T00:00:00.000Z",2008
464,"2022-03-17T00:00:00.000Z",2019
942,"2021-04-20T00:00:00.000Z",2018
354,"2019-12-05T00:00:00.000Z",2011
688,"2019-05-15T00:00:00.000Z",2015
1045,"2022-02-22T00:00:00.000Z",2015
391,"2021-12-17T00:00:00.000Z",2020
891,"2022-02-22T00:00:00.000Z",2014
1066,"2017-09-21T00:00:00.000Z",1997
579,"2021-10-06T00:00:00.000Z",2018
686,"2021-07-28T00:00:00.000Z",2014
822,"2021-12-28T00:00:00.000Z",2021
882,"2021-06-16T00:00:00.000Z",2013
816,"2022-02-22T00:00:00.000Z",2001
369,"2021-03-01T00:00:00.000Z",2015
340,"2022-01-13T00:00:00.000Z",2017
1058,"2019-05-07T00:00:00.000Z",2012
129,"2020-09-29T00:00:00.000Z",1994
862,"2021-07-13T00:00:00.000Z",2016
363,"2017-10-30T00:00:00.000Z",2014
603,"2021-01-25T00:00:00.000Z",2013
645,"2021-05-06T00:00:00.000Z",2015
769,"2021-05-18T00:00:00.000Z",2016
788,"2022-01-12T00:00:00.000Z",2017
452,"2021-06-08T00:00:00.000Z",2013
420,"2022-01-04T00:00:00.000Z",2012
996,"2022-01-11T00:00:00.000Z",2015
763,"2021-05-07T00:00:00.000Z",2016
803,"2022-02-08T00:00:00.000Z",2009
765,"2021-06-03T00:00:00.000Z",2012
989,"2020-06-17T00:00:00.000Z",2016
409,"2021-04-29T00:00:00.000Z",2013
580,"2021-07-20T00:00:00.000Z",2011
513,"2022-01-12T00:00:00.000Z",2018
809,"2021-09-15T00:00:00.000Z",2019
791,"2021-08-09T00:00:00.000Z",2015
998,"2021-08-26T00:00:00.000Z",2011
455,"2021-03-16T00:00:00.000Z",2014
477,"2021-01-14T00:00:00.000Z",2016
896,"2022-03-21T00:00:00.000Z",2012
797,"2021-06-15T00:00:00.000Z",2017
361,"2021-09-15T00:00:00.000Z",2000
250,"2018-01-23T00:00:00.000Z",2015
229,"2017-10-31T00:00:00.000Z",2011
540,"2018-12-19T00:00:00.000Z",2015
73,"2018-11-13T00:00:00.000Z",2012
852,"2018-11-20T00:00:00.000Z",2015
78,"2020-11-10T00:00:00.000Z",2019
79,"2021-05-12T00:00:00.000Z",1996
632,"2016-08-15T00:00:00.000Z",1999
314,"2021-12-01T00:00:00.000Z",2021
82,"2021-07-27T00:00:00.000Z",2018
164,"2021-04-13T00:00:00.000Z",2017
85,"2016-06-22T00:00:00.000Z",2014
212,"2020-11-23T00:00:00.000Z",2016
65,"2020-01-21T00:00:00.000Z",2015
258,"2018-04-20T00:00:00.000Z",2016
63,"2018-07-11T00:00:00.000Z",2016
58,"2017-07-31T00:00:00.000Z",2005
31,"2019-10-30T00:00:00.000Z",2017
248,"2017-10-12T00:00:00.000Z",2015
32,"2018-11-15T00:00:00.000Z",2013
252,"2020-10-08T00:00:00.000Z",2011
33,"2018-10-05T00:00:00.000Z",2017
287,"2020-11-24T00:00:00.000Z",2015
251,"2019-07-22T00:00:00.000Z",2010
243,"2019-07-22T00:00:00.000Z",2015
40,"2018-05-29T00:00:00.000Z",2013
44,"2021-10-08T00:00:00.000Z",2014
45,"2018-06-26T00:00:00.000Z",2011
211,"2014-04-01T00:00:00.000Z",1995
50,"2018-11-14T00:00:00.000Z",2012
53,"2021-11-01T00:00:00.000Z",2015
285,"2018-04-02T00:00:00.000Z",2014
217,"2018-06-04T00:00:00.000Z",2009
134,"2018-10-31T00:00:00.000Z",2015
317,"2021-03-25T00:00:00.000Z",2020
365,"2019-04-15T00:00:00.000Z",2015
91,"2019-05-06T00:00:00.000Z",2012
185,"2017-09-26T00:00:00.000Z",2014
121,"2016-04-07T00:00:00.000Z",2001
335,"2019-07-18T00:00:00.000Z",2013
1014,"2021-04-09T00:00:00.000Z",2019
191,"2020-12-23T00:00:00.000Z",2017
334,"2019-02-27T00:00:00.000Z",2011
118,"2011-04-02T00:00:00.000Z",1994
115,"2019-07-29T00:00:00.000Z",2012
113,"2021-05-18T00:00:00.000Z",2014
147,"2021-12-16T00:00:00.000Z",2008
136,"2016-08-04T00:00:00.000Z",2013
130,"2021-04-05T00:00:00.000Z",2015
321,"2018-09-04T00:00:00.000Z",2016
327,"2021-03-11T00:00:00.000Z",2017
641,"2019-07-16T00:00:00.000Z",2011
352,"2017-01-01T00:00:00.000Z",2012
972,"2018-10-17T00:00:00.000Z",2016
201,"2021-04-08T00:00:00.000Z",2015
168,"2021-11-29T00:00:00.000Z",2019
104,"2015-09-22T00:00:00.000Z",2010
171,"2018-02-26T00:00:00.000Z",2012
350,"2017-11-01T00:00:00.000Z",2012
101,"2020-07-27T00:00:00.000Z",2017
239,"2021-01-14T00:00:00.000Z",2011
1065,"2021-06-01T00:00:00.000Z",2015
938,"2016-04-12T00:00:00.000Z",2015
828,"2021-08-11T00:00:00.000Z",2017
941,"2020-07-30T00:00:00.000Z",2006
988,"2018-05-21T00:00:00.000Z",2013
