"company_id","valuation","funding","select_investors"
189,4000000000,0,"EQT Partners"
848,1000000000,100000000,"""Dragonfly Captial, Qiming Venture Partners, DST Global"""
556,2000000000,100000000,"""Blackstone, Bessemer Venture Partners"""
999,1000000000,100000000,"""Goldman Sachs Asset Management, 3L"""
396,2000000000,100000000,"""Insight Partners, Softbank Group, Connect Ventures"""
931,1000000000,100000000,"""Tencent Holdings, Hillhouse Capital Management"""
364,2000000000,101000000,"""K2VC, Lightspeed China Partners, Sky9 Capital"""
732,1000000000,102000000,"""Initialized Capital, General Catalyst, Kraken Ventures"""
906,1000000000,105000000,"""Delian Capital, China International Capital Corporation, Sequoia Capital China"""
72,8000000000,105000000,"""Accel Partners, Sequoia Capital"""
983,1000000000,105000000,"""Investment Corporation of Dubai, Centralway"""
898,1000000000,107000000,"""Lightspeed India Partners, Sequoia Capital India, Endiya Partners"""
844,1000000000,107000000,"""General Catalyst, Future Ventures, AU21"""
894,1000000000,109000000,"""DST Global, General Catalyst, Monashees+"""
813,1000000000,109000000,"""Polychain Capital, Coinbase Ventures, Jump Capital"""
743,1000000000,10000000,"""Coatue Management, H Capital, Capital Today"""
226,4000000000,110000000,"""Andreessen Horowitz, TQ Ventures"""
963,1000000000,110000000,"""Left Lane Capital, Galaxy Interactive, Tru Arrow Partners"""
764,1000000000,111000000,"""Craft Ventures, Caffeinated Capital, Operator Collective"""
839,1000000000,111000000,"""Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners"""
1033,1000000000,114000000,"""Storm Ventures, DFJ DragonFund, New Enterprise Associates"""
725,1000000000,115000000,"""SC.Holdings, Not Boring Capital, Bolt Ventures"""
549,2000000000,115000000,"""Northern Light Venture Capital, Xiaomi, FutureX Capital"""
667,1000000000,116000000,"""Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"""
755,1000000000,116000000,"""Passion Capital, Hedosophia, Outrun Ventures"""
782,1000000000,118000000,"""Paradigm, Andreessen Horowitz, Jump Capital"""
175,4000000000,119000000,"""Bnk To The Future, Trammell Ventures, SBI Investment"""
398,2000000000,119000000,"""Accomplice, Polychain Capital, GoldenTree Asset Management"""
814,1000000000,120000000,"""M13, Lightspeed Venture Partners, Lone Pine Capital"""
436,2000000000,120000000,"GAM Holding"
1046,1000000000,120000000,"""Insight Partners, Ignition Partners, Georgian Partners"""
565,2000000000,121000000,"""Tomales Bay Capital, Bain & Company, General Catalyst"""
781,1000000000,124000000,"""Pantera Capital, Polychain Capital, Lightspeed Venture Partners"""
997,1000000000,125000000,"""Prysm Capital, Baillie Gifford & Co., TDM Growth Partners"""
194,4000000000,125000000,"""Silver Lake, ICONIQ Capital"""
249,3000000000,125000000,"""Day One Ventures, Coinbase Ventures, Andreessen Horowitz"""
434,2000000000,125000000,"""Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"""
1035,1000000000,126000000,"""Index Ventures, Benchmark, Thrive Capital"""
969,1000000000,126000000,"""General Catalyst, Nexus Venture Partners, Dell Technologies Capital"""
1018,1000000000,127000000,"""New Enterprise Associates, Accel, Bond"""
355,2000000000,127000000,"""VGames, Lakestar, Galaxy Interactive"""
934,1000000000,127000000,"""Technology Crossover Ventures, Alkeon Capital Management, General Atlantic"""
1054,1000000000,128000000,"""Sequoia Capital, Founders Fund, Bling Capital"""
901,1000000000,128000000,"""Cowboy Ventures, Leaders Fund, GGV Capital"""
173,4000000000,128000000,"""Foundation Capital, Frontier Ventures, AltaIR Capital"""
738,1000000000,128000000,"""Left Lane Capital, Walden Venture Capital"""
422,2000000000,129000000,"""Amplify Partners, Addition, Madrona Venture Group"""
830,1000000000,130000000,"""Thrive Capital, Khosla Ventures, Tiger Global Management"""
1004,1000000000,130000000,"Bregal Sagemount"
951,1000000000,130000000,"""5Y Capital, Matrix Partners China, K2VC"""
734,1000000000,130000000,"""Zeev Ventures, GSV Ventures"""
1063,1000000000,131000000,"""Equal Ventures, Uncork Capital, Andreessen Horowitz"""
623,1000000000,131000000,"""Matrix Partners China, Ventech China, Shunwei Capital Partners"""
846,1000000000,132000000,"""New Enterprise Associates, Greylock Partners, Andreessen Horowitz"""
823,1000000000,134000000,"""Ardian, Tiger Global Management, KKR"""
944,1000000000,135000000,"""Kleiner Perkins Caufield & Byers, NightDragon Security, Venrock"""
1030,1000000000,135000000,"""Greylock Partners, Google Ventures, BlackRock"""
824,1000000000,136000000,"""Tiantu Capital, SAIF Partners China, Newsion Venture Capital"""
930,1000000000,137000000,"""Nexus Venture Partners, Vertex Ventures, STRIVE"""
370,2000000000,137000000,"""Boxin Capital, DT Capital Partners, IDG Capital"""
618,1000000000,139000000,"""U.S.-China Green Fund, Founder H Fund, Richland Equities"""
456,2000000000,139000000,"""next47, First Round Capital, Sequoia Capital"""
893,1000000000,140000000,"""Andreessen Horowitz, DST Global, IDG Capital"""
812,1000000000,140000000,"""General Catalyst, Inspired Capital, Flybridge Capital Partners"""
1001,1000000000,140000000,"""Sozo Ventures, Caffeinated Capital, Sequoia Capital"""
703,1000000000,141000000,"""Innovation Endeavors, s28 Capital, Lightspeed Venture Partners"""
884,1000000000,141000000,"""Thrive Capital, General Catalyst, Coatue Management"""
404,2000000000,142000000,"""Moonshots Capital, BoxGroup, Blu Venture Investors"""
952,1000000000,143000000,"""Andreessen Horowitz, FTX Ventures, Tiger Global Management"""
625,1000000000,143000000,"""Index Ventures, Thrive Capital, Bain Capital Ventures"""
971,1000000000,144000000,"""GGV Capital, GSR Ventures, FreesFund"""
796,1000000000,144000000,"""Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"""
909,1000000000,145000000,"""Next Play Ventures, Zeal Capital Partners, SoftBank Group"""
587,2000000000,147000000,"""Toyota Motor Corporation, Mizuho Financial Group, FANUC"""
273,3000000000,148000000,"""Forerunner Ventures, Lifeline Ventures, MSD Capital"""
