"company_id","industry"
189,"Health"
848,"Fintech"
556,"Internet software & services"
999,"Internet software & services"
396,"Fintech"
931,"Consumer & retail"
364,"E-commerce & direct-to-consumer"
732,"Fintech"
906,"Hardware"
72,"Hardware"
983,"Fintech"
898,"Internet software & services"
844,"Fintech"
894,"Fintech"
813,"Fintech"
743,"Other"
226,"Mobile & telecommunications"
963,"Fintech"
764,"Fintech"
839,"E-commerce & direct-to-consumer"
1033,"Internet software & services"
725,"Health"
549,"Artificial intelligence"
667,"Mobile & telecommunications"
755,"Fintech"
782,"Fintech"
175,"Fintech"
398,"Fintech"
814,"E-commerce & direct-to-consumer"
436,"Artificial intelligence"
1046,"Artificial intelligence"
565,"Artificial intelligence"
781,"Internet software & services"
997,"E-commerce & direct-to-consumer"
194,"Internet software & services"
249,"Fintech"
434,"Auto & transportation"
1035,"Cybersecurity"
969,"Data management & analytics"
1018,"Other"
355,"Internet software & services"
934,"E-commerce & direct-to-consumer"
1054,"Fintech"
901,"Cybersecurity"
173,"Internet software & services"
738,"Fintech"
422,"Internet software & services"
830,"Health"
1004,"Other"
951,"E-commerce & direct-to-consumer"
734,"Internet software & services"
1063,"Fintech"
623,"Fintech"
846,"Data management & analytics"
823,"Fintech"
944,"Fintech"
1030,"Artificial intelligence"
824,"E-commerce & direct-to-consumer"
930,"Internet software & services"
370,"Data management & analytics"
618,"E-commerce & direct-to-consumer"
456,"Cybersecurity"
893,"E-commerce & direct-to-consumer"
812,"Other"
1001,"Other"
703,"Cybersecurity"
884,"Health"
404,"Cybersecurity"
952,"Internet software & services"
625,"Internet software & services"
971,"Internet software & services"
796,"Edtech"
909,"Fintech"
587,"Artificial intelligence"
273,"Health"
771,"Internet software & services"
758,"Internet software & services"
652,"Internet software & services"
8,"Consumer & retail"
760,"Mobile & telecommunications"
394,"Health"
393,"Fintech"
870,"Other"
804,"Artificial intelligence"
1041,"Internet software & services"
443,"Artificial intelligence"
978,"Internet software & services"
612,"Auto & transportation"
714,"Mobile & telecommunications"
925,"Fintech"
421,"Internet software & services"
449,"Fintech"
1022,"""Supply chain, logistics, & delivery"""
240,"Other"
644,"""Supply chain, logistics, & delivery"""
718,"Fintech"
920,"Fintech"
1048,"Health"
1024,"Artificial intelligence"
929,"Artificial intelligence"
751,"Internet software & services"
1012,"Other"
863,"Artificial intelligence"
662,"Fintech"
1027,"Fintech"
783,"Fintech"
592,"Cybersecurity"
1023,"Fintech"
1051,"Internet software & services"
633,"Internet software & services"
635,"Internet software & services"
750,"Fintech"
697,"Internet software & services"
886,"Internet software & services"
826,"Edtech"
1000,"Artificial intelligence"
740,"Internet software & services"
798,"Health"
1008,"Consumer & retail"
761,"Internet software & services"
701,"Internet software & services"
825,"Internet software & services"
344,"Internet software & services"
695,"Internet software & services"
876,"Hardware"
643,"Artificial intelligence"
509,"Internet software & services"
979,"Internet software & services"
1031,"Internet software & services"
817,"Other"
943,"Artificial intelligence"
975,"Internet software & services"
647,"Cybersecurity"
426,"Artificial intelligence"
705,"Health"
724,"E-commerce & direct-to-consumer"
464,"Internet software & services"
942,"Fintech"
354,"Other"
688,"E-commerce & direct-to-consumer"
1045,"Internet software & services"
391,"Internet software & services"
891,"Cybersecurity"
1066,"""Supply chain, logistics, & delivery"""
579,"Fintech"
686,"Health"
822,"E-commerce & direct-to-consumer"
882,"""Supply chain, logistics, & delivery"""
816,"Cybersecurity"
369,"Hardware"
340,"Fintech"
1058,"Internet software & services"
129,"Other"
862,"Artificial intelligence"
363,"Edtech"
603,"""Supply chain, logistics, & delivery"""
645,"Health"
769,"Fintech"
788,"Internet software & services"
452,"Fintech"
420,"Other"
996,"Cybersecurity"
763,"Artificial intelligence"
803,"Fintech"
765,"Internet software & services"
989,"Health"
409,"Artificial intelligence"
580,"Internet software & services"
513,"Other"
809,"Internet software & services"
791,"Edtech"
998,"Mobile & telecommunications"
455,"Health"
477,"Artificial intelligence"
896,"Artificial intelligence"
797,"Internet software & services"
361,"Fintech"
250,"""Supply chain, logistics, & delivery"""
229,"Artificial intelligence"
540,"Artificial intelligence"
73,"Cybersecurity"
852,"Auto & transportation"
78,"Internet software & services"
79,"Health"
632,"Other"
314,"E-commerce & direct-to-consumer"
82,"Fintech"
164,"Data management & analytics"
85,"Mobile & telecommunications"
212,"Other"
65,"Cybersecurity"
258,"Auto & transportation"
63,"Artificial intelligence"
58,"Internet software & services"
31,"Artificial intelligence"
248,"Fintech"
32,"Internet software & services"
252,"Mobile & telecommunications"
33,"Fintech"
287,"E-commerce & direct-to-consumer"
251,"Artificial intelligence"
243,"Artificial intelligence"
40,"Auto & transportation"
44,"Fintech"
45,"Data management & analytics"
211,"Health"
50,"Internet software & services"
53,"Fintech"
285,"Auto & transportation"
217,"Artificial intelligence"
134,"Fintech"
317,"E-commerce & direct-to-consumer"
365,"Auto & transportation"
91,"Fintech"
185,"Artificial intelligence"
121,"E-commerce & direct-to-consumer"
335,"Auto & transportation"
1014,"Fintech"
191,"Auto & transportation"
334,"""Supply chain, logistics, & delivery"""
118,"Internet software & services"
115,"Artificial intelligence"
113,"E-commerce & direct-to-consumer"
147,"Hardware"
136,"Edtech"
130,"Internet software & services"
321,"""Supply chain, logistics, & delivery"""
327,"Fintech"
641,"Fintech"
352,"Travel"
972,"Artificial intelligence"
201,"Internet software & services"
168,"Health"
104,"Health"
171,"Health"
350,"E-commerce & direct-to-consumer"
101,"Health"
239,"Internet software & services"
1065,"Internet software & services"
938,"Artificial intelligence"
828,"Internet software & services"
941,"Mobile & telecommunications"
988,"Hardware"
484,"Fintech"
864,"Internet software & services"
383,"Internet software & services"
1060,"Internet software & services"
595,"Consumer & retail"
840,"Fintech"
290,"Internet software & services"
742,"Fintech"
964,"Health"
712,"Mobile & telecommunications"
837,"Fintech"
583,"Internet software & services"
411,"Hardware"
430,"Internet software & services"
875,"Artificial intelligence"
810,"Cybersecurity"
805,"""Supply chain, logistics, & delivery"""
953,"Internet software & services"
606,"Data management & analytics"
679,"""Supply chain, logistics, & delivery"""
907,"Cybersecurity"
