Category: All categories

Week,home workout: (Worldwide),gym workout: (Worldwide),home gym: (Worldwide)
2018-03-18,12,16,10
2018-03-25,13,17,10
2018-04-01,12,18,10
2018-04-08,12,18,9
2018-04-15,12,16,9
2018-04-22,12,15,8
2018-04-29,13,16,9
2018-05-06,13,16,9
2018-05-13,12,16,8
2018-05-20,12,16,8
2018-05-27,13,16,10
2018-06-03,12,17,9
2018-06-10,13,16,8
2018-06-17,13,17,8
2018-06-24,13,17,9
2018-07-01,12,17,9
2018-07-08,13,18,9
2018-07-15,13,17,10
2018-07-22,14,18,10
2018-07-29,13,18,10
2018-08-05,12,17,9
2018-08-12,12,17,10
2018-08-19,12,16,9
2018-08-26,11,16,9
2018-09-02,11,17,10
2018-09-09,11,16,9
2018-09-16,11,16,9
2018-09-23,11,16,9
2018-09-30,11,16,9
2018-10-07,11,15,9
2018-10-14,10,14,8
2018-10-21,11,15,8
2018-10-28,10,15,9
2018-11-04,11,15,9
2018-11-11,11,15,9
2018-11-18,10,14,11
2018-11-25,12,15,10
2018-12-02,11,13,10
2018-12-09,10,13,9
2018-12-16,11,13,10
2018-12-23,12,14,12
2018-12-30,17,19,14
2019-01-06,16,21,13
2019-01-13,15,19,11
2019-01-20,14,17,11
2019-01-27,14,17,11
2019-02-03,14,17,10
2019-02-10,12,17,10
2019-02-17,12,18,10
2019-02-24,13,17,10
2019-03-03,13,17,10
2019-03-10,13,15,9
2019-03-17,12,17,10
2019-03-24,12,16,9
2019-03-31,12,16,10
2019-04-07,11,15,9
2019-04-14,12,15,9
2019-04-21,12,14,9
2019-04-28,11,15,9
2019-05-05,12,16,9
2019-05-12,11,15,8
2019-05-19,11,15,8
2019-05-26,12,15,9
2019-06-02,13,16,9
2019-06-09,13,16,8
2019-06-16,12,17,9
2019-06-23,13,17,9
2019-06-30,13,17,9
2019-07-07,14,17,10
2019-07-14,13,17,9
2019-07-21,12,18,10
2019-07-28,13,16,10
2019-08-04,12,17,9
2019-08-11,12,15,9
2019-08-18,11,16,10
2019-08-25,11,15,10
2019-09-01,11,16,10
2019-09-08,11,16,9
2019-09-15,10,16,9
2019-09-22,10,16,9
2019-09-29,10,15,9
2019-10-06,10,15,9
2019-10-13,10,15,10
2019-10-20,11,15,9
2019-10-27,10,13,9
2019-11-03,11,16,10
2019-11-10,11,15,10
2019-11-17,12,16,11
2019-11-24,10,14,12
2019-12-01,11,14,10
2019-12-08,10,13,10
2019-12-15,11,13,10
2019-12-22,11,15,11
2019-12-29,16,18,15
2020-01-05,15,21,12
2020-01-12,15,19,12
2020-01-19,14,18,11
2020-01-26,13,18,11
2020-02-02,13,18,11
2020-02-09,13,18,11
2020-02-16,14,18,11
2020-02-23,13,18,10
2020-03-01,13,17,11
2020-03-08,17,16,14
2020-03-15,71,15,35
2020-03-22,100,14,45
2020-03-29,89,14,40
2020-04-05,82,13,34
2020-04-12,75,12,31
2020-04-19,63,11,28
2020-04-26,56,10,28
2020-05-03,44,10,25
2020-05-10,39,10,25
2020-05-17,37,10,25
2020-05-24,34,11,25
2020-05-31,30,11,22
2020-06-07,29,11,23
2020-06-14,28,12,22
2020-06-21,27,12,23
2020-06-28,28,12,24
2020-07-05,28,13,23
2020-07-12,27,13,24
2020-07-19,27,13,25
2020-07-26,24,13,23
2020-08-02,23,13,23
2020-08-09,22,14,22
2020-08-16,22,14,19
2020-08-23,21,13,19
2020-08-30,22,14,19
2020-09-06,21,15,20
2020-09-13,20,14,18
2020-09-20,20,14,18
2020-09-27,19,14,18
2020-10-04,19,14,18
2020-10-11,19,14,18
2020-10-18,20,14,18
2020-10-25,19,13,18
2020-11-01,20,12,19
2020-11-08,20,13,21
2020-11-15,21,13,22
2020-11-22,19,11,22
2020-11-29,21,14,21
2020-12-06,20,14,20
2020-12-13,19,12,20
2020-12-20,17,11,21
2020-12-27,26,15,27
2021-01-03,31,16,25
2021-01-10,25,14,23
2021-01-17,26,15,23
2021-01-24,25,14,23
2021-01-31,24,15,21
2021-02-07,22,14,18
2021-02-14,21,14,19
2021-02-21,21,14,17
2021-02-28,19,15,17
2021-03-07,19,15,17
2021-03-14,18,13,16
2021-03-21,18,15,16
2021-03-28,18,13,16
2021-04-04,18,14,17
2021-04-11,18,15,16
2021-04-18,18,15,16
2021-04-25,19,13,16
2021-05-02,19,14,17
