Category: All categories

Week,workout: (Worldwide)
2018-03-18,59
2018-03-25,58
2018-04-01,61
2018-04-08,57
2018-04-15,59
2018-04-22,55
2018-04-29,55
2018-05-06,57
2018-05-13,55
2018-05-20,56
2018-05-27,60
2018-06-03,56
2018-06-10,58
2018-06-17,54
2018-06-24,55
2018-07-01,51
2018-07-08,57
2018-07-15,61
2018-07-22,57
2018-07-29,56
2018-08-05,58
2018-08-12,55
2018-08-19,52
2018-08-26,49
2018-09-02,50
2018-09-09,50
2018-09-16,48
2018-09-23,47
2018-09-30,49
2018-10-07,49
2018-10-14,46
2018-10-21,46
2018-10-28,47
2018-11-04,47
2018-11-11,48
2018-11-18,44
2018-11-25,50
2018-12-02,48
2018-12-09,47
2018-12-16,46
2018-12-23,46
2018-12-30,61
2019-01-06,64
2019-01-13,64
2019-01-20,60
2019-01-27,60
2019-02-03,63
2019-02-10,54
2019-02-17,58
2019-02-24,59
2019-03-03,55
2019-03-10,54
2019-03-17,57
2019-03-24,56
2019-03-31,53
2019-04-07,54
2019-04-14,49
2019-04-21,51
2019-04-28,52
2019-05-05,53
2019-05-12,51
2019-05-19,55
2019-05-26,54
2019-06-02,56
2019-06-09,54
2019-06-16,54
2019-06-23,56
2019-06-30,51
2019-07-07,56
2019-07-14,55
2019-07-21,56
2019-07-28,55
2019-08-04,54
2019-08-11,54
2019-08-18,53
2019-08-25,49
2019-09-01,49
2019-09-08,52
2019-09-15,49
2019-09-22,47
2019-09-29,48
2019-10-06,47
2019-10-13,46
2019-10-20,48
2019-10-27,45
2019-11-03,47
2019-11-10,46
2019-11-17,55
2019-11-24,46
2019-12-01,48
2019-12-08,43
2019-12-15,46
2019-12-22,45
2019-12-29,59
2020-01-05,63
2020-01-12,64
2020-01-19,61
2020-01-26,60
2020-02-02,60
2020-02-09,56
2020-02-16,59
2020-02-23,56
2020-03-01,56
2020-03-08,52
2020-03-15,68
2020-03-22,97
2020-03-29,95
2020-04-05,100
2020-04-12,97
2020-04-19,93
2020-04-26,87
2020-05-03,80
2020-05-10,78
2020-05-17,77
2020-05-24,76
2020-05-31,67
2020-06-07,71
2020-06-14,71
2020-06-21,68
2020-06-28,68
2020-07-05,66
2020-07-12,65
2020-07-19,65
2020-07-26,61
2020-08-02,62
2020-08-09,61
2020-08-16,58
2020-08-23,60
2020-08-30,58
2020-09-06,58
2020-09-13,58
2020-09-20,57
2020-09-27,54
2020-10-04,55
2020-10-11,55
2020-10-18,52
2020-10-25,53
2020-11-01,48
2020-11-08,54
2020-11-15,53
2020-11-22,50
2020-11-29,55
2020-12-06,54
2020-12-13,51
2020-12-20,46
2020-12-27,62
2021-01-03,71
2021-01-10,69
2021-01-17,69
2021-01-24,68
2021-01-31,70
2021-02-07,62
2021-02-14,63
2021-02-21,62
2021-02-28,63
2021-03-07,63
2021-03-14,60
2021-03-21,62
2021-03-28,59
2021-04-04,62
2021-04-11,63
2021-04-18,59
2021-04-25,57
2021-05-02,58
2021-05-09,58
2021-05-16,57
2021-05-23,61
2021-05-30,62
2021-06-06,61
2021-06-13,61
2021-06-20,58
2021-06-27,59
2021-07-04,56
2021-07-11,59
2021-07-18,59
2021-07-25,61
2021-08-01,55
2021-08-08,55
2021-08-15,54
2021-08-22,55
2021-08-29,52
2021-09-05,51
2021-09-12,51
2021-09-19,52
2021-09-26,49
2021-10-03,50
2021-10-10,50
2021-10-17,47
2021-10-24,47
2021-10-31,47
2021-11-07,49
2021-11-14,47
2021-11-21,46
2021-11-28,47
2021-12-05,47
2021-12-12,47
2021-12-19,43
2021-12-26,51
2022-01-02,69
2022-01-09,63
2022-01-16,56
2022-01-23,59
2022-01-30,60
2022-02-06,61
2022-02-13,55
2022-02-20,55
2022-02-27,59
2022-03-06,57
2022-03-13,55
2022-03-20,56
2022-03-27,56
2022-04-03,54
2022-04-10,54
2022-04-17,53
2022-04-24,51
2022-05-01,56
2022-05-08,54
2022-05-15,53
2022-05-22,53
2022-05-29,53
2022-06-05,58
2022-06-12,61
2022-06-19,56
2022-06-26,54
2022-07-03,51
2022-07-10,56
2022-07-17,58
2022-07-24,52
2022-07-31,54
2022-08-07,54
2022-08-14,53
2022-08-21,55
2022-08-28,52
2022-09-04,49
2022-09-11,48
2022-09-18,48
2022-09-25,47
2022-10-02,46
2022-10-09,48
2022-10-16,44
2022-10-23,41
2022-10-30,47
2022-11-06,47
2022-11-13,47
2022-11-20,41
2022-11-27,46
2022-12-04,44
2022-12-11,44
2022-12-18,42
2022-12-25,51
2023-01-01,62
2023-01-08,59
2023-01-15,58
2023-01-22,58
2023-01-29,55
2023-02-05,57
2023-02-12,52
2023-02-19,55
2023-02-26,60
2023-03-05,55
2023-03-12,51
