Category: All categories

Week,yoga: (Philippines),workout: (Philippines),zumba: (Philippines),bodybuilding: (Philippines),weight loss: (Philippines)
2018-03-18,6,30,39,1,3
2018-03-25,6,28,35,1,3
2018-04-01,6,28,33,1,3
2018-04-08,6,29,36,1,3
2018-04-15,6,28,36,1,3
2018-04-22,5,28,35,1,3
2018-04-29,6,28,35,1,4
2018-05-06,5,27,37,1,3
2018-05-13,6,25,31,1,3
2018-05-20,6,25,33,1,3
2018-05-27,6,27,34,1,3
2018-06-03,5,26,36,1,3
2018-06-10,5,24,39,<1,3
2018-06-17,5,27,46,1,3
2018-06-24,5,27,44,1,3
2018-07-01,5,26,53,<1,3
2018-07-08,5,26,58,1,3
2018-07-15,5,24,51,1,3
2018-07-22,5,25,52,1,3
2018-07-29,4,25,45,1,3
2018-08-05,5,25,46,1,3
2018-08-12,5,23,43,1,3
2018-08-19,6,22,41,1,2
2018-08-26,5,23,42,1,3
2018-09-02,6,24,45,1,2
2018-09-09,5,22,41,1,3
2018-09-16,5,24,45,1,3
2018-09-23,5,23,49,1,3
2018-09-30,5,24,51,1,3
2018-10-07,5,24,50,1,3
2018-10-14,4,24,51,1,3
2018-10-21,5,21,48,1,3
2018-10-28,5,18,35,1,3
2018-11-04,5,22,42,1,3
2018-11-11,4,21,46,1,3
2018-11-18,4,22,52,1,3
2018-11-25,5,22,62,1,3
2018-12-02,4,20,70,1,3
2018-12-09,4,18,72,1,3
2018-12-16,4,16,56,1,2
2018-12-23,4,13,45,1,2
2018-12-30,4,17,41,1,3
2019-01-06,5,23,36,1,4
2019-01-13,4,22,42,1,4
2019-01-20,5,21,37,1,3
2019-01-27,5,23,40,1,3
2019-02-03,5,22,43,1,4
2019-02-10,4,22,44,1,3
2019-02-17,4,21,46,1,3
2019-02-24,4,23,42,1,4
2019-03-03,4,24,43,1,3
2019-03-10,4,22,41,1,3
2019-03-17,4,24,38,1,3
2019-03-24,3,20,37,<1,3
2019-03-31,3,21,30,<1,3
2019-04-07,3,22,30,1,3
2019-04-14,3,20,26,1,3
2019-04-21,3,21,30,<1,3
2019-04-28,3,22,30,1,3
2019-05-05,3,20,27,1,3
2019-05-12,2,14,27,1,1
2019-05-19,2,14,29,<1,2
2019-05-26,2,14,26,1,2
2019-06-02,3,15,27,1,2
2019-06-09,3,15,30,<1,2
2019-06-16,2,16,33,1,2
2019-06-23,2,15,39,<1,2
2019-06-30,2,15,44,1,2
2019-07-07,2,16,55,1,2
2019-07-14,2,16,55,1,2
2019-07-21,2,15,54,<1,2
2019-07-28,3,14,51,1,2
2019-08-04,2,13,44,<1,2
2019-08-11,2,12,48,1,1
2019-08-18,2,12,44,1,1
2019-08-25,2,11,39,1,2
2019-09-01,2,14,44,1,2
2019-09-08,2,12,42,1,2
2019-09-15,2,12,43,<1,1
2019-09-22,2,12,49,<1,2
2019-09-29,2,11,47,<1,1
2019-10-06,2,12,43,<1,1
2019-10-13,2,12,41,<1,1
2019-10-20,2,11,36,<1,1
2019-10-27,1,8,30,0,1
2019-11-03,1,10,30,1,1
2019-11-10,2,9,36,1,1
2019-11-17,1,9,40,1,1
2019-11-24,2,9,41,<1,1
2019-12-01,1,9,41,1,1
2019-12-08,1,8,48,<1,1
2019-12-15,1,8,39,<1,1
2019-12-22,<1,6,31,<1,1
2019-12-29,2,7,30,<1,1
2020-01-05,2,10,37,1,2
2020-01-12,1,10,36,<1,1
2020-01-19,1,10,32,<1,2
2020-01-26,2,11,32,0,1
2020-02-02,1,11,33,1,1
2020-02-09,1,10,32,<1,1
2020-02-16,2,10,31,0,2
2020-02-23,2,11,32,<1,1
2020-03-01,2,11,30,<1,1
2020-03-08,1,11,30,<1,1
2020-03-15,3,28,41,<1,2
2020-03-22,6,60,87,0,5
2020-03-29,5,69,93,0,5
2020-04-05,7,76,85,0,6
2020-04-12,7,83,95,0,6
2020-04-19,7,91,100,<1,7
2020-04-26,8,96,93,1,7
2020-05-03,7,88,93,<1,8
2020-05-10,8,85,97,<1,6
2020-05-17,7,80,90,<1,7
2020-05-24,6,77,91,<1,7
2020-05-31,6,63,75,0,7
2020-06-07,6,58,73,1,5
2020-06-14,7,56,71,<1,5
2020-06-21,6,48,64,<1,5
2020-06-28,5,50,62,<1,6
2020-07-05,6,49,64,<1,5
2020-07-12,5,48,59,<1,6
2020-07-19,6,45,58,<1,5
2020-07-26,5,44,60,<1,4
2020-08-02,5,43,60,<1,5
2020-08-09,6,47,62,0,4
2020-08-16,6,44,56,<1,4
2020-08-23,5,38,53,<1,4
2020-08-30,5,38,56,<1,4
2020-09-06,5,40,59,<1,4
2020-09-13,6,36,60,<1,4
2020-09-20,4,38,56,0,3
2020-09-27,5,36,55,1,4
2020-10-04,6,37,56,<1,3
2020-10-11,5,35,54,<1,3
2020-10-18,5,34,54,0,4
2020-10-25,5,31,51,<1,3
2020-11-01,5,32,53,<1,3
2020-11-08,5,31,51,<1,3
2020-11-15,5,31,50,<1,3
2020-11-22,5,32,54,<1,3
2020-11-29,4,31,51,0,3
2020-12-06,5,31,53,<1,2
2020-12-13,5,26,52,<1,2
2020-12-20,3,20,42,0,2
2020-12-27,4,22,43,<1,2
2021-01-03,6,34,50,0,4
2021-01-10,5,35,54,0,3
2021-01-17,5,34,56,<1,4
2021-01-24,5,33,52,<1,3
2021-01-31,5,38,51,<1,3
2021-02-07,5,37,53,<1,3
2021-02-14,6,34,52,0,3
2021-02-21,5,36,52,0,3
2021-02-28,5,37,53,<1,3
2021-03-07,5,37,53,<1,3
2021-03-14,5,38,56,<1,4
2021-03-21,6,38,53,<1,3
2021-03-28,6,42,53,<1,4
2021-04-04,6,44,56,<1,3
2021-04-11,5,40,51,<1,3
2021-04-18,6,41,51,0,3
2021-04-25,6,39,51,0,3
2021-05-02,5,39,49,<1,3
2021-05-09,5,34,48,<1,3
2021-05-16,5,36,42,<1,3
2021-05-23,6,36,43,<1,3
2021-05-30,6,34,44,0,4
2021-06-06,5,38,48,<1,3
2021-06-13,5,37,48,<1,4
2021-06-20,5,37,44,<1,4
2021-06-27,6,37,42,<1,4
2021-07-04,5,39,46,<1,3
2021-07-11,5,39,42,0,4
2021-07-18,5,35,41,<1,3
2021-07-25,4,33,38,<1,3
2021-08-01,5,36,41,<1,3
2021-08-08,6,40,47,<1,3
2021-08-15,5,39,44,<1,3
2021-08-22,5,38,46,<1,3
2021-08-29,5,38,45,<1,4
2021-09-05,5,35,44,0,3
2021-09-12,5,36,44,<1,3
2021-09-19,5,36,42,<1,3
2021-09-26,5,36,44,<1,3
2021-10-03,4,36,46,<1,2
2021-10-10,4,33,43,<1,3
2021-10-17,5,34,44,<1,3
2021-10-24,4,31,45,0,3
2021-10-31,5,31,43,<1,3
2021-11-07,3,32,42,0,3
2021-11-14,4,30,43,<1,3
2021-11-21,4,31,44,0,2
2021-11-28,4,27,43,0,3
2021-12-05,4,28,45,<1,2
2021-12-12,3,24,40,0,2
2021-12-19,3,17,36,<1,1
2021-12-26,3,18,33,<1,2
2022-01-02,4,29,35,<1,2
2022-01-09,4,31,38,<1,3
2022-01-16,4,29,38,0,2
2022-01-23,5,29,40,<1,3
2022-01-30,4,30,44,<1,3
2022-02-06,5,32,40,<1,3
2022-02-13,3,30,38,<1,3
2022-02-20,4,32,40,1,2
2022-02-27,4,31,38,<1,2
2022-03-06,4,35,40,<1,3
2022-03-13,4,32,39,<1,3
2022-03-20,4,30,37,<1,2
2022-03-27,4,28,39,<1,3
2022-04-03,5,28,37,<1,3
2022-04-10,4,28,34,<1,2
2022-04-17,4,30,34,0,2
2022-04-24,4,28,36,<1,2
2022-05-01,4,30,34,<1,2
2022-05-08,4,31,27,<1,3
2022-05-15,4,37,26,<1,3
2022-05-22,4,36,29,<1,3
2022-05-29,4,38,29,<1,4
2022-06-05,4,39,31,<1,4
2022-06-12,4,40,30,<1,3
2022-06-19,4,42,30,<1,4
2022-06-26,4,39,25,<1,4
2022-07-03,4,40,28,<1,4
2022-07-10,4,39,28,<1,4
2022-07-17,4,40,30,<1,4
2022-07-24,4,38,28,<1,4
2022-07-31,4,35,29,<1,4
2022-08-07,4,32,28,<1,3
2022-08-14,4,31,27,<1,3
2022-08-21,4,29,30,<1,3
2022-08-28,4,30,31,<1,3
2022-09-04,4,30,37,<1,3
2022-09-11,4,30,41,<1,3
2022-09-18,4,30,46,<1,3
2022-09-25,4,28,46,<1,3
2022-10-02,4,29,53,<1,3
2022-10-09,5,30,47,<1,3
2022-10-16,5,29,48,<1,3
2022-10-23,4,28,40,<1,2
2022-10-30,4,27,36,<1,3
2022-11-06,4,25,50,<1,3
2022-11-13,5,30,53,<1,3
2022-11-20,4,32,58,<1,3
2022-11-27,4,28,57,<1,3
2022-12-04,4,27,65,<1,2
2022-12-11,4,27,66,<1,2
2022-12-18,3,22,42,<1,2
2022-12-25,3,21,35,<1,2
2023-01-01,5,29,31,<1,3
2023-01-08,4,30,38,<1,3
2023-01-15,4,29,38,<1,3
2023-01-22,4,30,38,<1,3
2023-01-29,4,33,37,<1,3
2023-02-05,4,31,38,<1,3
2023-02-12,4,30,37,<1,3
2023-02-19,4,30,37,<1,3
2023-02-26,4,29,41,<1,3
2023-03-05,4,34,45,<1,3
2023-03-12,4,32,44,<1,3
