Category: All categories

Week,yoga: (Singapore),workout: (Singapore),zumba: (Singapore),weight training: (Singapore),weight loss: (Singapore)
2018-03-18,9,22,7,<1,3
2018-03-25,10,21,6,0,3
2018-04-01,9,24,5,0,3
2018-04-08,8,23,6,<1,4
2018-04-15,9,24,7,<1,3
2018-04-22,9,21,6,<1,3
2018-04-29,9,23,7,1,3
2018-05-06,8,24,7,<1,3
2018-05-13,9,20,6,0,3
2018-05-20,9,24,7,0,3
2018-05-27,10,22,5,<1,3
2018-06-03,9,20,6,0,2
2018-06-10,8,18,5,<1,3
2018-06-17,9,18,5,<1,2
2018-06-24,10,21,6,0,3
2018-07-01,8,21,6,1,3
2018-07-08,8,20,7,0,2
2018-07-15,11,22,7,0,3
2018-07-22,10,23,5,0,3
2018-07-29,10,23,9,0,3
2018-08-05,10,22,7,0,2
2018-08-12,10,22,6,0,3
2018-08-19,11,22,6,<1,2
2018-08-26,8,22,7,0,3
2018-09-02,10,23,6,0,3
2018-09-09,9,23,7,<1,3
2018-09-16,11,22,6,0,3
2018-09-23,9,21,8,0,4
2018-09-30,9,22,6,0,4
2018-10-07,10,22,6,0,3
2018-10-14,8,22,6,0,3
2018-10-21,9,22,6,0,3
2018-10-28,9,20,7,<1,3
2018-11-04,9,20,7,<1,3
2018-11-11,9,20,6,0,3
2018-11-18,8,19,6,0,3
2018-11-25,9,19,6,<1,3
2018-12-02,8,20,7,<1,3
2018-12-09,8,20,7,<1,3
2018-12-16,7,19,6,0,2
2018-12-23,7,20,6,<1,3
2018-12-30,8,21,6,1,3
2019-01-06,9,23,5,0,4
2019-01-13,7,20,7,0,3
2019-01-20,8,20,6,0,4
2019-01-27,8,21,5,0,4
2019-02-03,7,20,5,0,4
2019-02-10,8,23,6,<1,2
2019-02-17,7,22,8,0,3
2019-02-24,10,23,6,1,3
2019-03-03,7,24,7,0,3
2019-03-10,7,22,7,<1,3
2019-03-17,8,22,6,0,4
2019-03-24,6,20,6,<1,3
2019-03-31,7,18,5,0,3
2019-04-07,7,20,7,<1,3
2019-04-14,6,21,5,0,2
2019-04-21,7,22,5,<1,3
2019-04-28,7,20,5,0,4
2019-05-05,6,20,5,<1,3
2019-05-12,6,19,6,0,2
2019-05-19,8,16,7,0,2
2019-05-26,9,23,4,0,2
2019-06-02,8,23,6,1,2
2019-06-09,8,21,6,0,2
2019-06-16,7,23,6,1,3
2019-06-23,5,21,6,0,2
2019-06-30,6,23,6,0,3
2019-07-07,9,22,7,0,2
2019-07-14,6,20,6,1,3
2019-07-21,7,23,10,1,2
2019-07-28,8,27,8,0,0
2019-08-04,6,22,9,0,3
2019-08-11,7,18,8,1,2
2019-08-18,7,22,12,0,4
2019-08-25,7,21,6,0,2
2019-09-01,6,21,8,1,2
2019-09-08,10,23,6,0,4
2019-09-15,4,25,11,0,2
2019-09-22,10,26,9,0,0
2019-09-29,7,22,11,1,1
2019-10-06,5,22,12,0,3
2019-10-13,6,15,12,0,1
2019-10-20,5,24,9,3,3
2019-10-27,6,19,6,0,3
2019-11-03,6,17,10,2,1
2019-11-10,7,25,7,0,3
2019-11-17,12,17,4,1,5
2019-11-24,11,25,8,0,4
2019-12-01,12,17,12,3,0
2019-12-08,9,15,4,0,4
2019-12-15,6,21,8,0,2
2019-12-22,9,15,6,1,0
2019-12-29,10,20,8,0,4
2020-01-05,5,30,6,0,2
2020-01-12,12,27,6,0,3
2020-01-19,9,17,7,0,2
2020-01-26,5,17,6,2,0
2020-02-02,14,25,11,2,3
2020-02-09,11,25,6,0,3
2020-02-16,9,23,6,0,4
2020-02-23,6,28,12,4,2
2020-03-01,7,21,8,0,0
2020-03-08,7,26,7,0,2
2020-03-15,10,29,7,0,2
2020-03-22,11,34,8,0,3
2020-03-29,15,46,14,0,5
2020-04-05,26,80,17,0,2
2020-04-12,29,100,23,0,8
2020-04-19,24,93,17,1,11
2020-04-26,24,94,19,0,6
2020-05-03,17,92,18,0,8
2020-05-10,24,99,21,0,6
2020-05-17,24,89,16,0,5
2020-05-24,27,96,18,0,6
2020-05-31,18,79,14,1,6
2020-06-07,19,86,15,0,5
2020-06-14,19,86,15,0,6
2020-06-21,17,74,11,0,2
2020-06-28,18,66,13,0,4
2020-07-05,17,54,14,0,3
2020-07-12,15,60,13,0,5
2020-07-19,11,54,10,0,4
2020-07-26,19,53,9,0,6
2020-08-02,14,63,12,0,6
2020-08-09,16,52,10,0,2
2020-08-16,17,54,9,0,4
2020-08-23,15,47,12,0,2
2020-08-30,11,47,9,0,3
2020-09-06,17,42,11,1,5
2020-09-13,13,48,12,0,4
2020-09-20,13,50,9,0,1
2020-09-27,13,51,13,0,2
2020-10-04,13,50,13,0,3
2020-10-11,14,46,11,0,3
2020-10-18,12,45,12,0,3
2020-10-25,18,42,10,2,4
2020-11-01,15,43,7,0,3
2020-11-08,15,47,14,1,3
2020-11-15,12,39,10,2,2
2020-11-22,15,40,10,0,5
2020-11-29,14,49,9,0,1
2020-12-06,12,44,9,0,2
2020-12-13,14,43,10,1,4
2020-12-20,13,35,9,0,3
2020-12-27,13,35,8,0,2
2021-01-03,14,51,9,0,4
2021-01-10,13,38,9,0,0
2021-01-17,14,44,11,0,3
2021-01-24,15,39,10,0,1
2021-01-31,15,35,9,0,2
2021-02-07,11,32,8,2,4
2021-02-14,16,35,6,0,4
2021-02-21,14,46,12,3,2
2021-02-28,16,37,8,2,6
2021-03-07,10,39,10,0,3
2021-03-14,15,32,9,0,3
2021-03-21,15,38,8,0,4
2021-03-28,19,43,10,0,2
2021-04-04,18,38,10,0,5
2021-04-11,12,37,8,2,3
2021-04-18,12,34,5,1,1
2021-04-25,15,34,6,0,0
2021-05-02,15,39,9,1,3
2021-05-09,19,43,7,0,2
2021-05-16,25,51,10,0,3
2021-05-23,18,53,12,0,3
2021-05-30,22,52,9,2,5
2021-06-06,16,49,8,0,5
2021-06-13,14,48,10,0,7
2021-06-20,17,47,8,0,4
2021-06-27,15,37,8,0,3
2021-07-04,15,40,7,0,5
2021-07-11,13,49,10,1,6
2021-07-18,16,40,8,0,4
2021-07-25,14,48,8,1,6
2021-08-01,13,49,8,0,2
2021-08-08,14,41,7,1,5
2021-08-15,11,47,10,0,4
2021-08-22,17,40,8,0,3
2021-08-29,17,39,8,1,3
2021-09-05,12,33,7,0,3
2021-09-12,14,34,9,0,3
2021-09-19,13,39,8,0,0
2021-09-26,14,40,5,0,3
2021-10-03,15,41,7,0,4
2021-10-10,14,36,8,0,3
2021-10-17,14,33,6,1,2
2021-10-24,11,32,5,0,4
2021-10-31,12,32,8,1,3
2021-11-07,11,36,7,1,1
2021-11-14,14,40,7,0,0
2021-11-21,12,34,5,1,2
2021-11-28,12,33,7,2,3
2021-12-05,16,37,7,0,2
2021-12-12,13,34,9,0,0
2021-12-19,10,31,3,0,3
2021-12-26,12,32,7,0,1
2022-01-02,12,35,6,1,5
2022-01-09,13,32,3,0,5
2022-01-16,13,29,7,0,0
2022-01-23,9,24,6,0,3
2022-01-30,16,24,3,1,3
2022-02-06,13,42,7,0,3
2022-02-13,12,29,5,0,4
2022-02-20,13,36,6,0,5
2022-02-27,15,37,6,0,1
2022-03-06,15,34,7,0,2
2022-03-13,17,38,7,0,3
2022-03-20,17,26,4,1,4
2022-03-27,11,29,5,0,1
2022-04-03,15,25,6,0,5
2022-04-10,10,26,5,0,0
2022-04-17,13,34,5,0,2
2022-04-24,14,35,5,0,3
2022-05-01,8,29,8,0,2
2022-05-08,12,29,3,0,5
2022-05-15,11,32,3,0,3
2022-05-22,11,31,3,1,4
2022-05-29,12,33,5,0,3
2022-06-05,11,33,4,0,3
2022-06-12,11,33,5,1,3
2022-06-19,12,34,4,1,3
2022-06-26,10,31,3,1,5
2022-07-03,11,34,5,0,4
2022-07-10,10,30,4,0,2
2022-07-17,10,36,4,0,4
2022-07-24,11,36,4,<1,4
2022-07-31,11,34,5,<1,4
2022-08-07,10,27,3,0,4
2022-08-14,11,33,4,0,4
2022-08-21,10,32,6,0,4
2022-08-28,10,32,5,0,4
2022-09-04,10,34,4,<1,3
