id,age,job,marital,education,credit_default,housing,loan
0,56,housemaid,married,basic_4y,no,no,no
1,57,services,married,high_school,unknown,no,no
2,37,services,married,high_school,no,yes,no
3,40,admin,married,basic_6y,no,no,no
4,56,services,married,high_school,no,no,yes
5,45,services,married,basic_9y,unknown,no,no
6,59,admin,married,professional_course,no,no,no
7,41,blue-collar,married,,unknown,no,no
8,24,technician,single,professional_course,no,yes,no
9,25,services,single,high_school,no,yes,no
10,41,blue-collar,married,,unknown,no,no
11,25,services,single,high_school,no,yes,no
12,29,blue-collar,single,high_school,no,no,yes
13,57,housemaid,divorced,basic_4y,no,yes,no
14,35,blue-collar,married,basic_6y,no,yes,no
15,54,retired,married,basic_9y,unknown,yes,yes
16,35,blue-collar,married,basic_6y,no,yes,no
17,46,blue-collar,married,basic_6y,unknown,yes,yes
18,50,blue-collar,married,basic_9y,no,yes,yes
19,39,management,single,basic_9y,unknown,no,no
20,30,unemployed,married,high_school,no,no,no
21,55,blue-collar,married,basic_4y,unknown,yes,no
22,55,retired,single,high_school,no,yes,no
23,41,technician,single,high_school,no,yes,no
24,37,admin,married,high_school,no,yes,no
25,35,technician,married,university_degree,no,no,yes
26,59,technician,married,,no,yes,no
27,39,self-employed,married,basic_9y,unknown,no,no
28,54,technician,single,university_degree,unknown,no,no
29,55,unknown,married,university_degree,unknown,unknown,unknown
30,46,admin,married,,no,no,no
31,59,technician,married,,no,yes,no
32,49,blue-collar,married,,no,no,no
33,54,management,married,basic_4y,unknown,yes,no
34,54,blue-collar,divorced,basic_4y,no,no,no
35,55,unknown,married,basic_4y,unknown,yes,no
36,34,services,married,high_school,no,no,no
37,52,technician,married,basic_9y,no,yes,no
38,41,admin,married,university_degree,no,yes,no
39,56,technician,married,basic_4y,no,yes,no
40,58,management,unknown,university_degree,no,yes,no
41,32,entrepreneur,married,high_school,no,yes,no
42,38,admin,single,professional_course,no,no,no
43,57,admin,married,university_degree,no,no,yes
44,44,admin,married,university_degree,unknown,yes,no
45,42,technician,single,professional_course,unknown,no,no
46,57,admin,married,university_degree,no,yes,yes
47,40,blue-collar,married,basic_9y,no,no,yes
48,35,admin,married,university_degree,no,yes,no
49,45,blue-collar,married,basic_9y,no,yes,no
50,54,admin,married,high_school,no,no,no
51,39,housemaid,married,basic_4y,no,no,yes
52,60,admin,married,high_school,no,no,no
53,53,admin,single,professional_course,no,no,no
54,55,blue-collar,married,basic_4y,unknown,no,no
55,55,technician,married,professional_course,unknown,yes,no
56,50,management,married,university_degree,unknown,no,yes
57,45,services,married,high_school,unknown,yes,no
58,55,unemployed,married,professional_course,unknown,yes,yes
59,25,technician,single,university_degree,no,yes,no
60,47,entrepreneur,married,university_degree,unknown,no,no
61,51,blue-collar,married,basic_9y,no,yes,no
62,42,blue-collar,married,basic_6y,unknown,yes,no
63,42,blue-collar,married,basic_6y,unknown,no,no
64,48,admin,married,high_school,no,no,no
65,37,admin,married,university_degree,no,no,no
66,44,blue-collar,single,basic_9y,no,yes,no
67,33,admin,married,,no,yes,no
68,56,admin,married,basic_9y,no,yes,no
69,44,blue-collar,single,basic_4y,unknown,yes,yes
70,41,management,married,basic_6y,no,no,no
71,44,management,divorced,university_degree,no,yes,no
72,47,admin,married,university_degree,unknown,yes,no
73,57,unknown,married,,unknown,no,no
74,37,admin,married,university_degree,unknown,yes,no
75,41,blue-collar,divorced,basic_4y,unknown,yes,no
76,55,technician,married,university_degree,no,no,no
77,33,services,married,high_school,unknown,yes,no
78,55,management,married,,unknown,yes,no
79,42,blue-collar,married,basic_9y,unknown,no,no
80,50,blue-collar,married,basic_4y,unknown,yes,no
81,51,blue-collar,married,basic_4y,unknown,unknown,unknown
82,38,admin,married,high_school,unknown,no,no
83,49,entrepreneur,married,university_degree,unknown,yes,no
84,38,technician,single,university_degree,no,no,yes
85,31,admin,divorced,high_school,no,no,no
86,41,management,married,basic_6y,no,no,no
87,39,admin,married,university_degree,no,yes,yes
88,49,technician,married,basic_9y,no,no,no
89,34,admin,married,high_school,no,yes,no
90,35,admin,married,university_degree,no,yes,no
91,57,unknown,married,,unknown,yes,no
92,60,admin,married,,unknown,no,yes
93,33,unemployed,married,basic_9y,no,no,no
94,42,blue-collar,married,basic_6y,no,no,yes
95,45,services,married,professional_course,no,yes,no
96,42,management,married,university_degree,no,no,no
97,53,admin,divorced,university_degree,unknown,no,no
98,37,technician,single,professional_course,no,no,no
99,44,blue-collar,married,basic_6y,no,no,no
100,54,services,married,,no,yes,no
101,49,blue-collar,married,basic_4y,no,no,no
102,54,services,married,,no,no,no
103,52,admin,divorced,university_degree,no,no,no
104,52,admin,divorced,university_degree,no,no,no
105,43,services,single,high_school,unknown,no,no
106,34,housemaid,married,basic_6y,no,yes,no
107,35,admin,married,high_school,no,yes,no
108,42,entrepreneur,married,,unknown,yes,no
109,43,technician,married,,unknown,yes,yes
110,60,retired,divorced,university_degree,unknown,no,no
111,58,unemployed,married,basic_4y,unknown,no,no
112,35,services,divorced,high_school,no,yes,no
113,55,blue-collar,married,basic_9y,unknown,yes,no
114,37,management,married,university_degree,no,no,no
115,36,blue-collar,married,high_school,no,no,no
116,52,admin,divorced,university_degree,no,no,no
117,57,blue-collar,divorced,,unknown,yes,no
118,56,admin,married,,no,yes,no
119,48,blue-collar,divorced,basic_4y,unknown,yes,no
120,40,blue-collar,married,high_school,unknown,yes,no
121,49,blue-collar,divorced,high_school,no,no,no
122,41,services,married,high_school,no,no,no
123,45,technician,married,high_school,no,yes,no
124,32,admin,married,university_degree,no,yes,yes
125,42,admin,married,university_degree,no,no,yes
126,50,admin,married,basic_6y,no,no,no
127,31,technician,divorced,professional_course,no,yes,yes
128,56,retired,married,basic_4y,no,yes,no
129,41,technician,married,professional_course,unknown,yes,no
130,37,blue-collar,married,basic_6y,no,yes,yes
131,41,technician,married,professional_course,unknown,no,no
132,35,blue-collar,married,,no,yes,no
133,37,blue-collar,married,basic_6y,no,yes,no
134,52,management,married,university_degree,no,no,no
135,39,management,divorced,university_degree,no,no,no
136,39,housemaid,married,basic_4y,unknown,no,no
137,56,blue-collar,married,basic_4y,unknown,no,no
138,34,services,married,high_school,no,yes,no
139,45,blue-collar,married,basic_9y,unknown,yes,no
140,43,unemployed,single,university_degree,no,yes,no
141,56,management,married,,no,yes,no
142,39,management,married,university_degree,no,yes,no
143,53,blue-collar,married,basic_4y,no,yes,no
144,38,unknown,divorced,high_school,unknown,yes,no
145,42,blue-collar,married,basic_4y,unknown,yes,no
146,42,blue-collar,married,basic_4y,unknown,no,no
147,35,admin,single,high_school,no,yes,no
148,40,admin,married,university_degree,unknown,yes,no
149,51,blue-collar,married,basic_4y,no,yes,no
150,60,blue-collar,married,basic_9y,unknown,no,no
151,56,entrepreneur,married,,unknown,yes,no
152,39,services,divorced,high_school,unknown,yes,no
153,56,entrepreneur,married,,unknown,no,no
154,40,blue-collar,married,,no,yes,yes
155,36,blue-collar,married,basic_9y,no,yes,yes
156,51,blue-collar,married,,unknown,yes,no
157,51,blue-collar,married,,unknown,no,no
158,43,technician,single,professional_course,no,yes,no
159,59,services,married,high_school,no,no,no
160,24,management,single,university_degree,no,yes,no
161,37,blue-collar,single,basic_9y,unknown,yes,yes
162,40,blue-collar,married,basic_9y,unknown,no,no
163,42,blue-collar,married,basic_9y,unknown,no,no
164,39,services,divorced,high_school,unknown,no,no
165,37,entrepreneur,married,basic_6y,no,no,no
166,38,services,married,high_school,no,yes,yes
167,56,admin,divorced,,unknown,no,no
168,40,blue-collar,married,,no,no,no
169,54,management,divorced,university_degree,no,yes,no
170,43,blue-collar,married,high_school,unknown,no,yes
171,36,services,married,high_school,unknown,no,no
172,45,technician,married,university_degree,no,yes,yes
173,42,admin,single,university_degree,unknown,no,no
174,43,services,married,high_school,no,no,no
175,46,management,married,basic_9y,no,no,no
176,44,services,married,high_school,no,yes,yes
177,51,admin,single,basic_6y,no,no,no
178,28,services,married,high_school,no,yes,no
179,37,blue-collar,married,basic_9y,no,no,no
180,34,technician,married,high_school,no,no,no
181,46,blue-collar,married,basic_6y,unknown,yes,no
182,42,blue-collar,married,basic_9y,no,yes,yes
183,36,admin,married,university_degree,no,yes,no
184,54,blue-collar,married,basic_4y,unknown,no,no
185,57,management,married,university_degree,no,no,no
186,51,technician,married,basic_6y,unknown,no,no
187,54,retired,married,high_school,unknown,no,no
188,49,blue-collar,married,basic_4y,unknown,no,no
189,34,admin,married,university_degree,no,yes,no
190,41,technician,married,professional_course,no,no,no
191,38,blue-collar,single,basic_9y,no,yes,no
192,45,management,divorced,university_degree,no,no,no
193,42,technician,married,university_degree,no,no,no
194,34,blue-collar,single,basic_9y,unknown,yes,no
195,48,blue-collar,married,basic_4y,no,yes,no
196,37,admin,married,high_school,unknown,yes,no
197,34,blue-collar,single,basic_9y,unknown,no,no
198,40,admin,married,basic_9y,unknown,yes,no
199,43,blue-collar,married,basic_6y,no,yes,no
200,33,services,married,high_school,no,no,no
201,32,services,single,basic_6y,no,no,no
202,39,blue-collar,married,high_school,no,yes,no
203,43,admin,married,,no,no,no
204,44,blue-collar,married,basic_9y,no,yes,no
205,35,student,single,university_degree,unknown,no,no
206,35,student,single,university_degree,unknown,yes,yes
207,35,unemployed,married,professional_course,no,no,no
208,36,services,single,basic_4y,no,no,no
209,35,student,single,university_degree,unknown,yes,no
210,36,student,single,basic_9y,no,yes,no
211,55,housemaid,divorced,university_degree,no,no,no
212,59,admin,married,university_degree,no,no,no
213,57,retired,married,,unknown,no,no
214,39,blue-collar,married,professional_course,unknown,yes,no
215,39,housemaid,married,basic_4y,unknown,yes,no
216,30,blue-collar,single,,no,yes,no
217,30,blue-collar,single,,no,yes,yes
218,50,housemaid,married,basic_4y,unknown,no,no
219,40,services,married,high_school,no,no,no
220,35,admin,married,high_school,no,yes,no
221,43,technician,married,,unknown,no,no
222,36,services,single,basic_6y,unknown,yes,no
223,46,technician,married,basic_4y,unknown,yes,no
224,40,technician,married,basic_9y,no,no,no
225,58,retired,married,university_degree,no,no,no
226,42,technician,married,university_degree,no,no,no
227,35,admin,single,university_degree,no,no,no
228,43,retired,married,basic_4y,unknown,no,no
229,45,blue-collar,married,basic_4y,no,yes,yes
230,39,admin,married,professional_course,no,yes,no
231,50,services,divorced,professional_course,no,yes,no
232,32,management,divorced,basic_4y,unknown,yes,no
233,39,admin,married,high_school,unknown,no,no
234,52,self-employed,married,university_degree,unknown,no,no
235,44,admin,married,professional_course,no,yes,no
236,56,blue-collar,married,basic_4y,no,no,no
237,48,admin,married,high_school,no,no,no
238,33,services,married,high_school,unknown,no,yes
239,43,management,married,university_degree,unknown,no,yes
240,57,retired,married,high_school,no,no,no
241,36,technician,single,professional_course,no,no,no
242,34,management,married,university_degree,no,yes,no
243,34,services,single,basic_9y,no,no,no
244,30,technician,married,university_degree,unknown,no,no
245,33,services,divorced,,no,no,no
246,32,technician,single,professional_course,no,no,no
247,36,technician,single,high_school,no,yes,no
248,36,blue-collar,single,high_school,no,no,yes
249,33,services,single,high_school,no,no,no
250,40,technician,divorced,professional_course,no,no,no
251,41,blue-collar,married,basic_4y,no,yes,no
252,51,services,married,basic_6y,no,yes,no
253,36,technician,married,professional_course,no,yes,no
254,28,services,married,,no,no,no
255,53,services,married,high_school,no,yes,yes
256,58,blue-collar,married,basic_9y,unknown,yes,no
257,45,management,married,basic_9y,no,no,yes
258,43,technician,married,,no,yes,no
259,33,admin,married,high_school,no,no,yes
260,33,admin,married,high_school,no,no,yes
261,27,blue-collar,single,basic_6y,no,unknown,unknown
262,42,technician,married,high_school,no,no,no
263,43,admin,divorced,basic_9y,no,no,no
264,42,admin,married,university_degree,no,no,no
265,27,blue-collar,single,basic_6y,no,no,no
266,34,self-employed,single,university_degree,no,yes,no
267,31,student,single,university_degree,unknown,no,no
268,54,management,divorced,university_degree,no,no,no
269,40,self-employed,married,basic_4y,unknown,no,no
270,52,unemployed,married,high_school,unknown,yes,no
271,47,management,divorced,university_degree,no,no,no
272,49,housemaid,married,basic_9y,unknown,no,no
273,32,admin,single,high_school,no,no,no
274,49,housemaid,single,high_school,unknown,yes,yes
275,50,blue-collar,married,basic_9y,unknown,no,no
276,34,services,married,high_school,no,no,no
277,55,blue-collar,married,basic_4y,unknown,no,no
278,47,technician,single,basic_9y,no,no,no
279,51,retired,married,professional_course,no,no,no
280,47,blue-collar,married,basic_6y,no,no,no
281,56,technician,married,basic_4y,no,yes,no
282,53,admin,married,basic_9y,no,no,no
283,36,blue-collar,married,basic_9y,no,yes,no
284,42,blue-collar,divorced,basic_9y,no,yes,no
285,44,blue-collar,divorced,basic_6y,no,no,no
286,39,housemaid,married,basic_9y,no,yes,no
287,37,admin,single,high_school,no,yes,yes
288,60,blue-collar,married,,unknown,yes,no
289,36,services,married,high_school,no,no,no
290,42,management,divorced,university_degree,no,yes,no
291,31,admin,married,high_school,no,yes,yes
292,53,technician,divorced,professional_course,unknown,no,yes
293,45,blue-collar,married,basic_4y,no,yes,no
294,37,technician,single,professional_course,no,yes,no
295,47,self-employed,married,professional_course,no,no,no
296,49,blue-collar,divorced,high_school,no,no,yes
297,36,admin,married,university_degree,no,yes,no
298,35,services,divorced,high_school,no,no,no
299,38,unknown,married,,unknown,no,no
300,38,services,single,high_school,unknown,no,no
301,50,blue-collar,divorced,high_school,unknown,no,yes
302,59,retired,married,professional_course,unknown,no,no
303,43,unknown,married,,no,yes,no
304,42,admin,married,high_school,no,yes,no
305,40,admin,married,basic_6y,unknown,yes,no
306,46,blue-collar,married,,unknown,no,no
307,57,housemaid,divorced,basic_4y,no,yes,yes
308,42,admin,married,university_degree,no,yes,no
309,41,blue-collar,married,basic_4y,no,yes,no
310,54,management,divorced,university_degree,no,yes,no
311,27,admin,single,university_degree,no,no,no
312,36,admin,married,high_school,no,no,no
313,58,blue-collar,married,professional_course,unknown,yes,no
314,40,management,married,university_degree,unknown,yes,no
315,34,admin,single,basic_9y,unknown,no,no
316,33,admin,divorced,high_school,no,no,no
317,56,retired,married,basic_6y,no,no,no
318,42,blue-collar,married,basic_9y,no,no,no
319,43,services,married,high_school,no,yes,no
320,54,management,single,basic_9y,no,yes,no
321,53,admin,single,basic_6y,no,yes,yes
322,42,technician,single,,no,no,no
323,40,services,married,basic_6y,unknown,no,no
324,54,technician,married,professional_course,no,yes,yes
325,40,housemaid,single,professional_course,no,no,no
326,26,admin,single,university_degree,no,yes,no
327,33,admin,married,high_school,no,no,no
328,35,blue-collar,married,basic_9y,unknown,no,no
329,36,admin,married,high_school,no,no,no
330,29,services,single,high_school,no,yes,no
331,36,blue-collar,married,basic_9y,no,yes,no
332,35,management,married,high_school,no,yes,no
333,50,self-employed,single,university_degree,no,no,yes
334,46,services,married,high_school,unknown,yes,no
335,49,entrepreneur,married,high_school,no,yes,no
336,42,technician,single,professional_course,unknown,yes,no
337,36,blue-collar,single,high_school,no,yes,yes
338,55,blue-collar,married,basic_9y,unknown,yes,no
339,41,management,married,university_degree,unknown,no,no
340,57,management,married,professional_course,unknown,yes,no
341,32,services,single,high_school,no,yes,no
342,49,admin,married,basic_9y,no,no,no
343,57,unknown,married,,unknown,yes,no
344,58,blue-collar,divorced,basic_4y,no,yes,no
345,52,technician,married,high_school,no,yes,no
346,50,services,divorced,professional_course,no,no,no
347,41,blue-collar,single,basic_9y,unknown,yes,no
348,33,entrepreneur,married,university_degree,no,yes,no
349,57,blue-collar,married,basic_4y,no,no,no
350,48,blue-collar,married,basic_6y,unknown,no,no
351,55,technician,married,professional_course,no,no,no
352,38,management,married,university_degree,no,no,no
353,38,services,married,high_school,no,yes,no
354,53,admin,married,university_degree,no,yes,no
355,43,unemployed,single,university_degree,no,no,no
356,36,blue-collar,single,high_school,no,no,no
357,32,blue-collar,married,basic_9y,no,no,no
358,33,services,married,basic_4y,no,no,no
359,58,entrepreneur,married,basic_4y,no,yes,no
360,40,unemployed,divorced,high_school,unknown,no,no
361,57,management,married,university_degree,no,yes,no
362,45,technician,married,high_school,no,yes,no
363,42,blue-collar,married,basic_4y,unknown,yes,no
364,46,admin,married,university_degree,no,yes,no
365,36,technician,married,university_degree,no,no,no
366,41,self-employed,married,high_school,no,yes,no
367,57,admin,divorced,basic_9y,no,no,no
368,49,blue-collar,married,basic_9y,unknown,yes,no
369,56,management,divorced,high_school,no,no,no
370,37,blue-collar,married,basic_9y,no,no,no
371,37,blue-collar,married,basic_9y,no,no,yes
372,46,admin,single,high_school,no,yes,no
373,22,blue-collar,single,basic_9y,no,yes,no
374,43,services,married,high_school,no,no,no
375,49,blue-collar,married,,no,no,no
376,41,technician,married,basic_6y,no,yes,no
377,38,admin,single,university_degree,no,no,no
378,33,admin,married,basic_9y,no,no,no
379,49,admin,married,university_degree,no,yes,yes
380,30,blue-collar,single,,no,no,no
381,33,admin,married,basic_9y,no,yes,no
382,34,management,single,university_degree,no,no,no
383,30,student,single,,unknown,no,no
384,59,management,married,basic_4y,unknown,yes,yes
385,59,management,married,basic_4y,unknown,unknown,unknown
386,41,self-employed,married,university_degree,no,no,no
387,48,housemaid,married,basic_6y,unknown,yes,yes
388,28,unknown,single,,unknown,yes,yes
389,44,services,married,high_school,no,yes,no
390,59,retired,unknown,university_degree,unknown,no,no
391,50,management,married,high_school,unknown,no,no
392,35,admin,married,university_degree,no,no,no
393,42,admin,married,high_school,no,no,no
394,45,admin,married,basic_9y,no,no,no
395,36,technician,married,professional_course,no,no,no
396,56,services,married,high_school,unknown,no,no
397,29,blue-collar,divorced,basic_4y,no,no,no
398,41,self-employed,married,university_degree,no,yes,yes
399,42,blue-collar,married,basic_9y,unknown,no,no
400,52,services,single,high_school,no,no,no
401,48,services,married,high_school,unknown,unknown,unknown
402,31,blue-collar,married,high_school,unknown,yes,no
403,43,unemployed,married,university_degree,unknown,yes,no
404,36,blue-collar,married,basic_4y,unknown,no,no
405,42,entrepreneur,married,university_degree,no,yes,no
406,52,services,divorced,basic_6y,no,no,no
407,39,admin,married,high_school,no,yes,no
408,36,services,married,high_school,no,no,yes
409,42,blue-collar,married,basic_9y,unknown,yes,no
410,41,admin,married,high_school,no,no,no
411,55,technician,married,basic_4y,no,no,yes
412,30,blue-collar,married,basic_9y,no,no,no
413,57,retired,unknown,basic_4y,no,no,no
414,45,entrepreneur,married,basic_4y,unknown,yes,no
415,51,blue-collar,married,basic_4y,unknown,yes,yes
416,39,self-employed,single,basic_9y,unknown,yes,yes
417,47,admin,married,high_school,unknown,no,no
418,27,services,married,high_school,no,yes,no
419,34,technician,single,university_degree,no,yes,no
420,57,blue-collar,married,basic_4y,unknown,yes,no
421,43,entrepreneur,married,basic_4y,no,no,no
422,49,blue-collar,married,basic_4y,unknown,no,no
423,39,management,married,university_degree,unknown,no,no
424,38,blue-collar,married,basic_4y,unknown,yes,no
425,49,blue-collar,married,basic_9y,no,no,no
426,58,management,married,basic_6y,no,no,no
427,43,technician,married,professional_course,no,yes,no
428,50,unknown,married,,unknown,yes,no
429,31,services,married,high_school,unknown,no,no
430,43,self-employed,divorced,university_degree,no,no,no
431,43,self-employed,married,basic_9y,unknown,no,no
432,30,self-employed,single,university_degree,no,yes,no
433,27,services,single,professional_course,no,yes,yes
434,51,services,married,,unknown,no,no
435,37,technician,married,professional_course,no,yes,no
436,46,housemaid,married,basic_9y,no,yes,no
437,35,blue-collar,married,professional_course,no,no,no
438,47,admin,divorced,university_degree,no,no,no
439,46,management,married,,no,yes,no
440,40,technician,married,professional_course,unknown,no,yes
441,26,housemaid,married,university_degree,no,no,no
442,32,blue-collar,divorced,basic_9y,unknown,no,no
443,45,management,married,university_degree,no,yes,no
444,34,admin,married,basic_9y,no,no,no
445,47,blue-collar,married,,unknown,no,no
446,42,technician,married,professional_course,no,no,no
447,57,technician,married,basic_4y,unknown,no,yes
448,57,technician,married,basic_4y,unknown,no,no
449,38,blue-collar,married,basic_4y,no,no,yes
450,57,technician,married,basic_4y,unknown,no,no
451,28,student,single,basic_9y,unknown,yes,no
452,60,management,married,university_degree,no,no,no
453,48,admin,married,university_degree,no,yes,no
454,47,technician,married,professional_course,no,yes,no
455,40,admin,married,high_school,no,no,no
456,51,management,married,professional_course,unknown,yes,no
457,48,unemployed,single,basic_4y,no,yes,no
458,54,housemaid,married,basic_4y,no,no,no
459,40,blue-collar,married,basic_6y,no,no,yes
460,44,admin,single,basic_9y,unknown,no,no
461,42,technician,divorced,high_school,no,no,no
462,52,self-employed,married,university_degree,no,yes,no
463,31,blue-collar,single,basic_9y,no,yes,no
464,32,services,married,high_school,no,no,no
465,44,admin,married,high_school,no,yes,yes
466,39,management,married,basic_6y,unknown,no,no
467,57,management,married,professional_course,unknown,yes,no
468,52,admin,married,basic_4y,no,yes,no
