code	lc	product_name_bg	product_name_de	product_name_el	product_name_en	product_name_es	product_name_fr	product_name_it	product_name_pl	generic_name_de	generic_name_el	generic_name_en	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_en	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_bg	ingredients_text_de	ingredients_text_el	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_nl	ingredients_text_pl	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kj_prepared_value	energy-kj_prepared_unit	energy-kcal_value	energy-kcal_unit	energy-kcal_prepared_value	energy-kcal_prepared_unit	fat_value	fat_unit	fat_prepared_value	fat_prepared_unit	saturated-fat_value	saturated-fat_unit	saturated-fat_prepared_value	saturated-fat_prepared_unit	carbohydrates_value	carbohydrates_unit	carbohydrates_prepared_value	carbohydrates_prepared_unit	sugars_value	sugars_unit	sugars_prepared_value	sugars_prepared_unit	fiber_value	fiber_unit	fiber_prepared_value	fiber_prepared_unit	proteins_value	proteins_unit	proteins_prepared_value	proteins_prepared_unit	salt_value	salt_unit	salt_prepared_value	salt_prepared_unit	sodium_value	sodium_unit	sodium_prepared_value	sodium_prepared_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy_prepared_value	energy_prepared_unit	monounsaturated-fat_value	monounsaturated-fat_unit	monounsaturated-fat_prepared_value	monounsaturated-fat_prepared_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	polyunsaturated-fat_prepared_value	polyunsaturated-fat_prepared_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	starch_value	starch_unit	starch_prepared_value	starch_prepared_unit	polyols_value	polyols_unit	soluble-fiber_value	soluble-fiber_unit	insoluble-fiber_value	insoluble-fiber_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-k_value	vitamin-k_unit	vitamin-c_value	vitamin-c_unit	vitamin-b1_value	vitamin-b1_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	vitamin-b9_value	vitamin-b9_unit	folates_value	folates_unit	vitamin-b12_value	vitamin-b12_unit	pantothenic-acid_value	pantothenic-acid_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	zinc_value	zinc_unit	copper_value	copper_unit	manganese_value	manganese_unit	selenium_value	selenium_unit	iodine_value	iodine_unit	phylloquinone_value	phylloquinone_unit	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
5000169636046	en				"Wood-fored Fennel Sausage, ‘Nduja Sourdough Pizza"																			United Kingdom	en:united-kingdom	Waitrose	waitrose	0																						100g	100g					216	kcal			7.1	g			2.9	g			27	g			3.6	g			2.3	g			9.9	g			0.91	g			0.364	g					216	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0850026434323	en				Cinnamon Spouted Sourdough								25 oz									Vegetarian, No artificial flavors, Vegan, Vegan Action	en:vegetarian,en:no-artificial-flavors,en:vegan,en:vegan-action	United States	en:united-states			0																						100g	100g					234.04255319149	kcal			0	g			0	g			48.936170212766	g			8.5106382978723	g			8.5106382978723	g			6.3829787234043	g			0.79787234042552	g			0.319148936170208	g					234.04255319149	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0237653602484	en				San Francisco sourdough								20.0 oz											United States	en:united-states			0																						100g	100g																																																																																																																							unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
4056489462187	en				Chargrilled vegetable and basil pesto woodfired sourdough pizza												Lidl,Deluxe	lidl,deluxe		Meals, Pizzas pies and quiches, Pizzas	en:meals,en:pizzas-pies-and-quiches,en:pizzas			Ireland	en:ireland			0																						100g	100g					245	kcal			8.5	g			3.6	g			33	g			4.7	g			3	g			7.5	g			0.85	g			0.34	g					245	kcal																																																																								en:pizza-pies-and-quiches	en:composite-foods,en:pizza-pies-and-quiches		unknown	c	3	unknown		1		-5	-15	1	0								App - Yuka, Apps
10500016941075200179	fr						Rye & Wheat Dark Sourdough Bread													"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads			France	en:france	Waitrose	waitrose	0																						100g	100g					221	kcal			1	g			0.2	g			44.8	g			2.8	g			4.9	g			5.9	g			0.51	g			0.204	g					221	kcal																																																																								en:bread	en:cereals-and-potatoes,en:bread		unknown	a	-4	unknown		1		-5	-15	1	0								App - Yuka, Apps
10500016930534800159	fr						White Sourdough Bread													"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads			Royaume-Uni	en:united-kingdom	Waitrose	waitrose	0																						100g	100g					230	kcal			0.7	g			0.1	g			46.6	g			0.9	g			2.9	g			7.8	g			0.81	g			0.324	g					230	kcal																																																																								en:bread	en:cereals-and-potatoes,en:bread		unknown	a	-2	unknown		1		-5	-15	1	0								App - Yuka, Apps
4088600327587	en				Dark Rye Sourdough								500 g		Ldpe-bag	en:ldpe-bag	Rye Bread	rye-bread				Green Dot	en:green-dot	United Kingdom	en:united-kingdom			0																						100g	100g					242	kcal			1.8	g			0.3	g			27	g			1.1	g							1.6	g			0.87	g			0.348	g					242	kcal																																																																											unknown			unknown				-5	-8	0	0								App - yuka, Apps, App - Horizon
0650947020205	en				Sourdough								20 oz											United States	en:united-states			0																						100g	100g					234.04255319149	kcal			1.063829787234	g			0	g			46.808510638298	g			0	g			2.1276595744681	g			8.5106382978723	g			1.063829787234	g			0.4255319148936	g					234.04255319149	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0055617973544	en				Pain blanc  sourdough levain									76.0g			Artesano	artesano						United States	en:united-states			0																						100g	100g					210.526315789474	kcal			1.97368421052632	g			0.394736857790696	g			39.4736842105263	g			1.31578947368421	g			1.31578947368421	g			10.5263157894737	g													210.526315789474	kcal																																																																											unknown			unknown		1		-5	-15	1	0								
10086988	en		Bauernbrot mit Sauerteig		Brown Ciabatta Rolls with Buckwheat and Sourdough		Choco Sticks						200g	50g	Plastic	en:plastic	Schär	schar		Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Special breads, Panini breads	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:special-breads,en:panini-breads	Vegetarian, No gluten, Source of fibre, Vegan, High fibres, No lactose	en:vegetarian,en:no-gluten,en:source-of-fibre,en:vegan,en:high-fibres,en:no-lactose	Belgium, France, Germany, Ireland, Italy, Spain, Switzerland	en:belgium,en:france,en:germany,en:ireland,en:italy,en:spain,en:switzerland			0										"BELAG 52%: Mozzarella Käse 42% (pasteurisierte laktosefreie Milch, Salz, mikrobielles Lab, Säuerungsmittel: Zitronensäure), pürierte Tomaten 36%, gekochter Schinken11% (Schweinefleisch, Salz, Dextrose, Zucker, Antioxidationsmittel: Natriumascorbat; natürliches Aroma, Gewürze, Konservierungsstoff: Natriumnitrit, Raucharonma), Champignon Pilze 11%, jodiertes Speisesalz (Salz, Kaliumiodid), Oregano. PIZZABODEN 48%: Maisstärke, Wasser, Reismehl, Sauerteig 9% (Reismehl, Wasser). Verdickungsmittel: Cellulose, Hydroxypropylmethylcellulose; Reisstärke, natives Olivenől extra 3,7%, Hefe, Maismehl, Sonnenblumenol, jodiertes Speisesalz (Salz, Kaliumiadid), Früchteextrakt (Johannisbrotkern, Apfel), Zucker, Dextrose, Backtriebmittel: Natriumhydrogencarbonat, Glucono-delta lacton, Säuerungsmittel: Weinsäure, Zitronensäure. Kann Spuren von Soja enthalten. MIT LAKTOSEFREIEM MOZZARELLA (Laktose &lt;0,01 g/100 g)."		Maize starch, sourdough 14% (rice flour, water), water, rice flour, sunflower seeds 7%, buckwheat flour 5.5%, flaxseeds 5%, yeast, vegetable fibre (psyllium, bamboo), apple extract, rice starch, thickener: hydroxypropyl methyl cellulose; sunflower oil, rice syrup, whole rice flour, soya protein, millet flour, extra virgin olive oil, sea salt, acids: citric acid, tartaric acid.	"RELLENO 52%: queso mozzarella 42% (leche pasteurizada sin lactosa, sal, cuajo microbiano, acidulante: ácido cítrico), salsa de tomate 36%, jamón cocido 11% (carne de cerdo, sal, dextrosa, azúcar, antioxidante: ascorbato sódico; aroma natural, mezcla de especias, conservante: nitrito sódico; aroma'ahumado), champiñones 11%, sal yodada (sal, yoduro de potasio), orégano. 

BASE 48%: almidón de maíz, agua, harina de arroz, masa madre 9% (harina de arroz, agua), espesantes: celulosa, hidroxipropilmetilcelulosa; almidón de arroz, aceite de oliva virgen extra 3,7%, levadura, harina de maíz, aceite de girasol, sal yodada (sal, yoduro de potasio), extracto de fruta (algarroba, manzana), azúcar, dextrosa, gasificantes: bicarbonato sódico, glucono-delta-lactona; acidulantes: ấcido tartárico, ácido cítrico."	"GARNITURE 52% : mozzarella 42% (lait pasteurisé sans lactose, sel, présure microbienne, correcteur d'acidité : acide citrique), purée de tomate 36%, jambon 11% (viande de porc, sel, dextrose, sucre, antioxydant : ascorbate de sodium ; arôme naturel, épices, conservateur : nitrite de sodium; arôme de fumée), champignons 11%, sel iodé, (sel, iodure de potassium), origan. 

PÂTE 48% : amidon de mais, eau, farine de riz, levain 9% (farine de riz, eau), épaissíssants : cellulose, hydroxypropylméthylcellulose; amidon de riz, huile d'olive extra vierge 3,7%, levure, farine de maïs, huile de tournesol, sel iodé, (sel, iodure de potassium), extraits de fruits (graines de caroube, pomme), sucre, dextrose, poudres à lever : bicarbonate de sodium, glucono-delta-lactone ; acidifiants : acide tartrique, acide citrique."	BELEG 52%: mozzarella kaas 42% (gepasteuriseerde lactosevrije melk, zout, microbieel stremsel, voedingszuur: citroenzuur), tomatenpuree 36%, gekookte ham 11% (varkensvlees, zout, dextrose, suiker, antioxidant: natriumascorbaat; natuurlijk aroma, kruiden, conserveringsmiddel: natriumnitriet; rooksmaak), champignons 11%, gejodeerd zout (zout, kaliumjodide), oregano. BODEM 48%: maiszetmeel, water, rijstmeel, zuurdesem 9% (rijstmeel, water), verdikkingsmiddel: cellulose, hydroxypropylmethylcellulose; rijstzetmeel, extra vierge olijfolie 3,7%, gist, maïsmeel, zonnebloemolie, gejodeerd zout (zout, kaliumjodide), fruitextracten (johannesbroodpit, appel), suiker, dextrose, rijsmiddelen: natriumbicarbonaat, glucono-delta-lacton; voedingszuur: wijnsteenzuur, citroenzuur. Kan sporen van soja bevatten. MET LACTOSEVRIJE MOZZARELLA KAAS (lactose &lt;0,01g/100 g).		Milk, Soybeans	en:milk,en:soybeans	Lupin, Mustard, Sesame seeds, Soybeans	en:lupin,en:mustard,en:sesame-seeds,en:soybeans		100g	100g	1193	kJ			285	kcal			9.4	g			1	g			38	g			4.6	g			9.6	g			6.8	g			0.92	g			0.368	g					1193	kJ																																																																							www.schar.co.uk	en:bread	en:cereals-and-potatoes,en:bread	4	en:4-ultra-processed-food-and-drink-products	a	-1	b	73	1	7170	-5	-15	1	0								App - yuka, Apps, App - InFood, App - Speisekammer, App - Open Food Facts
